,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
204,China,LFP,Pyro,0.7504928909612499,baseline,baseline
205,China,NCA,Pyro,4.938224181454864,baseline,baseline
206,China,NMC111,Pyro,4.509522084963053,baseline,baseline
207,China,NMC523,Pyro,4.1245149361291435,baseline,baseline
208,China,NMC622,Pyro,4.543486561743644,baseline,baseline
209,China,NMC811,Pyro,4.489290573460414,baseline,baseline
210,Colombia,LFP,Pyro,0.0,baseline,baseline
211,Colombia,NCA,Pyro,2.3109281538136894,baseline,baseline
212,Colombia,NMC111,Pyro,-2.14908433462755,baseline,baseline
213,Colombia,NMC523,Pyro,-1.6171892083022563,baseline,baseline
214,Colombia,NMC622,Pyro,-4.647831080605631,baseline,baseline
215,Colombia,NMC811,Pyro,-6.18187899081112,baseline,baseline
216,Comoros,LFP,,,baseline,baseline
217,Comoros,NCA,,,baseline,baseline
218,Comoros,NMC111,,,baseline,baseline
219,Comoros,NMC523,,,baseline,baseline
220,Comoros,NMC622,,,baseline,baseline
221,Comoros,NMC811,,,baseline,baseline
222,Congo,LFP,Pyro,0.0,baseline,baseline
223,Congo,NCA,Pyro,-919.713873445262,baseline,baseline
224,Congo,NMC111,Pyro,-1650.0347578278017,baseline,baseline
225,Congo,NMC523,Pyro,-1945.5238545451832,baseline,baseline
226,Congo,NMC622,Pyro,-2872.1222511647816,baseline,baseline
227,Congo,NMC811,Pyro,-3473.9332825347387,baseline,baseline
228,Costa Rica,LFP,Pyro,0.0,baseline,baseline
229,Costa Rica,NCA,Pyro,-0.6101863592515429,baseline,baseline
230,Costa Rica,NMC111,Pyro,-9.377878314511257,baseline,baseline
231,Costa Rica,NMC523,Pyro,-7.890384919191225,baseline,baseline
232,Costa Rica,NMC622,Pyro,-14.619569287329956,baseline,baseline
233,Costa Rica,NMC811,Pyro,-17.77117105523562,baseline,baseline
234,Croatia,LFP,,,baseline,baseline
235,Croatia,NCA,,,baseline,baseline
236,Croatia,NMC111,,,baseline,baseline
