source_iso3,destination_iso3,transport_cost_per_kg
BHS,AUS,0.46394009999999997
BHS,BEL,0.21939024
BHS,BRA,0.16668251999999997
BHS,CAN,0.06804392999999999
BHS,CHE,0.22878437999999998
BHS,CHN,0.379791
BHS,CZE,0.24074780999999998
BHS,DEU,0.23631878999999997
BHS,ESP,0.20704263
BHS,FIN,0.24794799
BHS,FRA,0.21628349999999996
BHS,GBR,0.20970744
BHS,HUN,0.25324776
BHS,IND,0.40397669999999997
BHS,ITA,0.24522062999999997
BHS,JPN,0.3668379
BHS,KOR,0.378531
BHS,NLD,0.21960092999999997
BHS,NOR,0.22551933
BHS,POL,0.25121082
BHS,ROM,0.27243164999999997
BHS,RUS,0.27465369
BHS,SVK,0.24850808999999996
BHS,SWE,0.23798235
BHS,THA,0.471216
BHS,TUR,0.29429300999999997
BHS,USA,0.046032899999999995
BHS,VNM,0.44673929999999995
BHS,YUG,0.25976601
BIH,AUS,0.4729353
BIH,BEL,0.03934065
BIH,BRA,0.28327977
BIH,CAN,0.20970249
BIH,CHE,0.027734171999999998
BIH,CHN,0.22847097
BIH,CZE,0.022711599
BIH,DEU,0.03099666
BIH,ESP,0.055856369999999995
BIH,FIN,0.0559002
BIH,FRA,0.04057389
BIH,GBR,0.04875855
BIH,HUN,0.012216486
BIH,IND,0.16263117
BIH,ITA,0.015952371
BIH,JPN,0.28141827
BIH,KOR,0.25419207
BIH,NLD,0.04126161
BIH,NOR,0.055791629999999995
BIH,POL,0.028566915
BIH,ROM,0.018494595
BIH,RUS,0.05706348
BIH,SVK,0.014654349
BIH,SWE,0.05164776
BIH,THA,0.24995573999999998
BIH,TUR,0.03810243
BIH,USA,0.22558340999999998
BIH,VNM,0.24648063
BIH,YUG,0.005896047
BLR,AUS,0.4540374
BLR,BEL,0.048057090000000004
BLR,BRA,0.3151749
BLR,CAN,0.20461421999999999
BLR,CHE,0.04828956
BLR,CHN,0.19441803
BLR,CZE,0.02959098
BLR,DEU,0.028465581
BLR,ESP,0.08288099999999998
BLR,FIN,0.021463094999999998
BLR,FRA,0.05471127
BLR,GBR,0.05619215999999999
BLR,HUN,0.027696581999999997
BLR,IND,0.14630312999999998
BLR,ITA,0.05198763
BLR,JPN,0.24435009
BLR,KOR,0.21878187
BLR,NLD,0.04538856
BLR,NOR,0.03650091
BLR,POL,0.014091114
BLR,ROM,0.03164067
BLR,RUS,0.020608970999999997
BLR,SVK,0.028783280999999997
BLR,SWE,0.025152339
BLR,THA,0.23021121
BLR,TUR,0.04802057999999999
BLR,USA,0.2235093
BLR,VNM,0.22164897
BLR,YUG,0.03370029
BLZ,AUS,0.42003389999999996
BLZ,BEL,0.26270229
BLZ,BRA,0.17393540999999998
BLZ,CAN,0.10099677
BLZ,CHE,0.27257391000000003
BLZ,CHN,0.3947166
BLZ,CZE,0.28387919999999994
BLZ,DEU,0.27904250999999997
BLZ,ESP,0.25133175
BLZ,FIN,0.2881174799999999
BLZ,FRA,0.25993317
BLZ,GBR,0.25299257999999997
BLZ,HUN,0.29660166
BLZ,IND,0.44145870000000004
BLZ,ITA,0.28935609
BLZ,JPN,0.367104
BLZ,KOR,0.3864861
BLZ,NLD,0.26263097999999996
BLZ,NOR,0.26652911999999995
BLZ,POL,0.29362992000000004
BLZ,ROM,0.31588379999999994
BLZ,RUS,0.31489049999999996
BLZ,SVK,0.29184068999999996
BLZ,SWE,0.27882419999999997
BLZ,THA,0.4932234
BLZ,TUR,0.3379305
BLZ,USA,0.08004573
BLZ,VNM,0.4646238
BLZ,YUG,0.3034161
BMU,AUS,0.5067912
BMU,BEL,0.17637002999999998
BMU,BRA,0.16937886
BMU,CAN,0.05208027
BMU,CHE,0.18527957999999997
BMU,CHN,0.3598557
BMU,CZE,0.19784981999999998
BMU,DEU,0.19384190999999998
BMU,ESP,0.16321425
BMU,FIN,0.20801591999999997
BMU,FRA,0.17292971999999998
BMU,GBR,0.1667427
BMU,HUN,0.21010782
BMU,IND,0.36462629999999996
BMU,ITA,0.20142099
BMU,JPN,0.3614244
BMU,KOR,0.36507419999999996
BMU,NLD,0.17687208
BMU,NOR,0.18491961
BMU,POL,0.20897535
BMU,ROM,0.22916834999999997
BMU,RUS,0.23439852
BMU,SVK,0.20539796999999999
BMU,SWE,0.1974465
BMU,THA,0.44029019999999996
BMU,TUR,0.25084487999999994
BMU,USA,0.03967191
BMU,VNM,0.4205127
BMU,YUG,0.21634866
BOL,AUS,0.3892917
BOL,BEL,0.30920129999999996
BOL,BRA,0.056300670000000004
BOL,CAN,0.21770363999999998
BOL,CHE,0.30948149999999996
BOL,CHN,0.5312844
BOL,CZE,0.32781449999999995
