Year,region,scrap,inuse_sum
2024,Switzerland,112.16381843319405,112.16381843319405
2024,Thailand,728.1726291493123,728.1726291493123
2024,Turkey,1442.1062369982094,1442.1062369982094
2024,USA,44056.22877452841,44056.22877452841
2024,United Kingdom,2788.072058196538,2788.072058196538
2024,Viet Nam,634.214870549401,634.214870549401
2025,Australia,957.215033326114,957.215033326114
2025,Belgium,211.9332499213262,211.9332499213262
2025,Brazil,22.790834126812243,22.790834126812243
2025,Canada,6723.296067409612,6723.296067409612
2025,China,472159.23047336546,472159.23047336546
2025,Czechia,1059.6662496066306,1059.6662496066306
2025,Finland,2825.776665617682,2825.776665617682
2025,France,3296.7394432206293,3296.7394432206293
2025,Germany,13775.6612448862,13775.6612448862
2025,Hungary,7064.441664044205,7064.441664044205
2025,India,3646.533460289959,3646.533460289959
2025,Italy,5510.26449795448,5510.26449795448
2025,Japan,5893.409461654684,5893.409461654684
2025,Korea,6013.057468456749,6013.057468456749
2025,Netherlands,70.64441664044205,70.64441664044205
2025,Norway,3390.931998741219,3390.931998741219
2025,Poland,8124.107913650836,8124.107913650836
2025,Slovakia,706.4441664044205,706.4441664044205
2025,Spain,635.7997497639785,635.7997497639785
2025,Sweden,3814.7984985838702,3814.7984985838702
2025,Switzerland,82.41848608051573,82.41848608051573
2025,Thailand,797.6791944384283,797.6791944384283
2025,Turkey,3532.2208320221025,3532.2208320221025
2025,USA,50538.87335547713,50538.87335547713
2025,United Kingdom,2649.1656240165776,2649.1656240165776
2025,Viet Nam,683.7250238043671,683.7250238043671
2026,Australia,1337.0922186972343,1337.0922186972343
2026,Belgium,246.85877597890652,246.85877597890652
2026,Brazil,31.835529016600816,31.835529016600816
2026,Canada,13402.757715988944,13402.757715988944
2026,China,596028.409600725,596028.409600725
2026,Czechia,1234.2938798945327,1234.2938798945327
2026,Finland,3291.4503463854207,3291.4503463854207
2026,France,5156.605542670492,5156.605542670492
2026,Germany,20832.13781733106,20832.13781733106
2026,Hungary,10532.641108433345,10532.641108433345
2026,India,6048.750513154155,6048.750513154155
2026,Italy,6418.328175451569,6418.328175451569
2026,Japan,6006.317856901979,6006.317856901979
2026,Korea,10258.542190380862,10258.542190380862
2026,Netherlands,82.28625865963551,82.28625865963551
2026,Norway,4772.603002258859,4772.603002258859
2026,Poland,9462.919745858084,9462.919745858084
2026,Romania,1810.2976905119813,1810.2976905119813
2026,Russian Federation,246.85877597890652,246.85877597890652
2026,Slovakia,822.8625865963552,822.8625865963552
2026,Spain,1728.0114318523458,1728.0114318523458
2026,Sweden,5348.606812876308,5348.606812876308
2026,Switzerland,96.00063510290809,96.00063510290809
2026,Thailand,1241.5856316474317,1241.5856316474317
2026,Turkey,4690.3167435992245,4690.3167435992245
2026,USA,79946.7921548675,79946.7921548675
2026,United Kingdom,3785.1678983432334,3785.1678983432334
2026,Viet Nam,955.0658704980244,955.0658704980244
2027,Australia,1693.935384248879,1693.935384248879
2027,Belgium,301.8268054836078,301.8268054836078
2027,Brazil,40.33179486306854,40.33179486306854
2027,Canada,19641.584098314383,19641.584098314383
2027,China,610992.422014238,610992.422014238
2027,Czechia,1509.1340274180393,1509.1340274180393
2027,Finland,4024.357406448105,4024.357406448105
2027,France,7713.351695692199,7713.351695692199
2027,Germany,31809.191666800227,31809.191666800227
2027,Hungary,16902.30110708204,16902.30110708204
2027,India,8872.99486987508,8872.99486987508
2027,Italy,7847.496942573804,7847.496942573804
2027,Japan,5854.242928692202,5854.242928692202
2027,Korea,12217.383422145922,12217.383422145922
2027,Netherlands,100.6089351612026,100.6089351612026
2027,Norway,6841.407590961779,6841.407590961779
2027,Poland,11570.0275435383,11570.0275435383
2027,Romania,2213.396573546457,2213.396573546457
2027,Russian Federation,503.0446758060131,503.0446758060131
2027,Serbia,804.8714812896208,804.8714812896208
2027,Slovakia,1006.0893516120262,1006.0893516120262
2027,Spain,3320.094860319686,3320.094860319686
2027,Sweden,7646.279072251399,7646.279072251399
2027,Switzerland,117.37709102140303,117.37709102140303
2027,Thailand,1734.2671791119471,1734.2671791119471
2027,Turkey,6036.536109672157,6036.536109672157
2027,USA,94251.08155043417,94251.08155043417
2027,United Kingdom,5684.404836607947,5684.404836607947
2027,Viet Nam,1209.9538458920565,1209.9538458920565
2028,Australia,1824.4304649339856,1824.4304649339856
2028,Belgium,303.46241365000935,303.46241365000935
2028,Brazil,43.43882059366632,43.43882059366632
2028,Canada,24021.667788297473,24021.667788297473
2028,China,736323.3650066343,736323.3650066343
2028,Czechia,1517.3120682500469,1517.3120682500469
2028,Finland,4046.1655153334577,4046.1655153334577
2028,France,9272.462639305842,9272.462639305842
2028,Germany,37241.58176404837,37241.58176404837
2028,Hungary,21748.13964491734,21748.13964491734
2028,India,10859.70514841658,10859.70514841658
2028,Italy,8378.934421336371,8378.934421336371
2028,Japan,6286.484509363378,6286.484509363378
2028,Korea,14018.396976498243,14018.396976498243
2028,Netherlands,101.15413788333646,101.15413788333646
2028,Norway,7788.868617016908,7788.868617016908
2028,Poland,11632.725856583693,11632.725856583693
2028,Romania,2225.3910334334023,2225.3910334334023
2028,Russian Federation,809.2331030666917,809.2331030666917
2028,Serbia,1213.8496546000374,1213.8496546000374
2028,Slovakia,1011.5413788333644,1011.5413788333644
2028,Spain,4551.936204750142,4551.936204750142
2028,Sweden,9306.180685266954,9306.180685266954
2028,Switzerland,118.01316086389254,118.01316086389254
2028,Thailand,1911.3081061213184,1911.3081061213184
2028,Turkey,6575.018962416872,6575.018962416872
2028,USA,102410.50881443676,102410.50881443676
2028,United Kingdom,6777.327238183543,6777.327238183543
2028,Viet Nam,1303.1646178099895,1303.1646178099895
2029,Australia,2230.883671860838,2230.883671860838
2029,Belgium,338.84667761887374,338.84667761887374
2029,Brazil,53.11627790144853,53.11627790144853
2029,Canada,33516.37135581402,33516.37135581402
2029,China,831008.7136866302,831008.7136866302
2029,Czechia,1694.2333880943688,1694.2333880943688
2029,Finland,4517.955701584982,4517.955701584982
2029,France,11483.137408195165,11483.137408195165
2029,Germany,47589.13339002848,47589.13339002848
2029,Hungary,24284.011896019285,24284.011896019285
2029,India,14872.557812405586,14872.557812405586
2029,Italy,10636.02071414798,10636.02071414798
2029,Japan,7079.870919858704,7079.870919858704
2029,Korea,15471.024126162116,15471.024126162116
2029,Netherlands,112.94889253962458,112.94889253962458
2029,Norway,9600.655865868088,9600.655865868088
2029,Poland,12989.122642056827,12989.122642056827
2029,Romania,2484.8756358717405,2484.8756358717405
2029,Russian Federation,1129.4889253962456,1129.4889253962456
2029,Serbia,1581.2844955547444,1581.2844955547444
2029,Slovakia,1129.4889253962456,1129.4889253962456
2029,Spain,5873.342412060478,5873.342412060478
2029,Sweden,11407.838146502083,11407.838146502083
2029,Switzerland,131.77370796289534,131.77370796289534
2029,Thailand,2337.116227663735,2337.116227663735
2029,Turkey,7567.5758001548475,7567.5758001548475
2029,USA,113639.63008707746,113639.63008707746
2029,United Kingdom,8188.7947091227825,8188.7947091227825
2029,Viet Nam,1593.4883370434554,1593.4883370434554
2030,Australia,2241.0641645069086,2241.0641645069086
2030,Belgium,337.3526373546038,337.3526373546038
2030,Brazil,53.358670583497826,53.358670583497826
2030,Canada,38471.60149070193,38471.60149070193
2030,China,792755.8941950337,792755.8941950337
2030,Czechia,1686.7631867730188,1686.7631867730188
2030,Finland,19116.649450094214,19116.649450094214
2030,France,12894.367472220412,12894.367472220412
2030,Germany,53789.00384487293,53789.00384487293
2030,Hungary,27550.465383959312,27550.465383959312
2030,India,16541.187880884325,16541.187880884325
2030,Italy,13269.203735947747,13269.203735947747
2030,Japan,8183.353552532057,8183.353552532057
2030,Korea,16333.831785962415,16333.831785962415
2030,Netherlands,112.45087911820124,112.45087911820124
2030,Norway,10345.480878874518,10345.480878874518
2030,Poland,12931.851098593146,12931.851098593146
2030,Romania,2473.919340600428,2473.919340600428
2030,Russian Federation,1349.4105494184153,1349.4105494184153
2030,Serbia,1799.21406589122,1799.21406589122
2030,Slovakia,1124.5087911820126,1124.5087911820126
2030,Spain,6747.052747092075,6747.052747092075
2030,Sweden,12369.596703002138,12369.596703002138
2030,Switzerland,131.19269230456814,131.19269230456814
2030,Thailand,2401.140176257402,2401.140176257402
2030,Turkey,7871.561538274087,7871.561538274087
2030,USA,134148.59009325647,134148.59009325647
2030,United Kingdom,8771.1685712197,8771.1685712197
2030,Viet Nam,1600.7601175049344,1600.7601175049344
2031,Australia,2387.2165862544907,2387.2165862544907
2031,Belgium,356.00536536669654,356.00536536669654
2031,Brazil,56.83849014891645,56.83849014891645
2031,Canada,45641.30758957991,45641.30758957991
2031,China,861192.6309097785,861192.6309097785
2031,Czechia,1780.0268268334826,1780.0268268334826
2031,Finland,20173.63737077947,20173.63737077947
2031,France,15209.340331499425,15209.340331499425
2031,Germany,63368.95503527198,63368.95503527198
2031,Hungary,33049.16475154166,33049.16475154166
2031,India,19325.08665063159,19325.08665063159
2031,Italy,15842.238758817995,15842.238758817995
2031,Japan,10496.192589869306,10496.192589869306
2031,Korea,18154.529828537557,18154.529828537557
2031,Netherlands,118.66845512223219,118.66845512223219
2031,Norway,11827.289360515806,11827.289360515806
2031,Poland,13646.8723390567,13646.8723390567
2031,Romania,2610.706012689108,2610.706012689108
2031,Russian Federation,1661.3583717112506,1661.3583717112506
2031,Serbia,2136.0321922001795,2136.0321922001795
2031,Slovakia,1186.6845512223217,1186.6845512223217
2031,Spain,7990.342644896966,7990.342644896966
2031,Sweden,14121.546159545629,14121.546159545629
2031,Switzerland,138.44653097593755,138.44653097593755
2031,Thailand,2557.7320567012407,2557.7320567012407
2031,Turkey,8583.684920508127,8583.684920508127
2031,USA,156751.82604120285,156751.82604120285
2031,United Kingdom,9908.816002706386,9908.816002706386
2031,Viet Nam,1705.1547044674935,1705.1547044674935
2032,Australia,2521.0210640034893,2521.0210640034893
2032,Belgium,357.273324469382,357.273324469382
2032,Brazil,60.02431104770212,60.02431104770212
2032,Canada,53241.56389931179,53241.56389931179
2032,China,836841.3018165688,836841.3018165688
2032,Czechia,1786.36662234691,1786.36662234691
2032,Finland,20245.488386598314,20245.488386598314
2032,France,16811.69476808703,16811.69476808703
