,country,type,scrap,year,Strategy type
248,Spain,NMC622,843.4720401157062,2025,Strategy 3
249,Spain,NMC811,449.0576106803842,2025,Strategy 3
250,Spain,NMC523,1782.9865078403823,2025,Strategy 3
251,Spain,NCA,2669.3234972948644,2025,Strategy 3
252,Sweden,LFP,15.967049995949674,2025,Strategy 3
253,Sweden,NMC111,2633.3106103635723,2025,Strategy 3
254,Sweden,NMC622,1351.7842046948688,2025,Strategy 3
255,Sweden,NMC811,690.6345508063249,2025,Strategy 3
256,Sweden,NMC523,2877.735903915018,2025,Strategy 3
257,Sweden,NCA,4272.22214936539,2025,Strategy 3
258,United Kingdom,LFP,0.0,2025,Strategy 3
259,United Kingdom,NMC111,3246.2501174033946,2025,Strategy 3
260,United Kingdom,NMC622,1644.663223991742,2025,Strategy 3
261,United Kingdom,NMC811,1107.853462198885,2025,Strategy 3
262,United Kingdom,NMC523,3540.9491039852965,2025,Strategy 3
263,United Kingdom,NCA,10589.037167588416,2025,Strategy 3
264,Norway,LFP,0.0,2025,Strategy 3
265,Norway,NMC111,1934.8481161283023,2025,Strategy 3
266,Norway,NMC622,805.9784672889726,2025,Strategy 3
267,Norway,NMC811,432.698906490673,2025,Strategy 3
268,Norway,NMC523,1868.3301873573905,2025,Strategy 3
269,Norway,NCA,5181.889624065693,2025,Strategy 3
270,Russian Federation,LFP,0.0,2025,Strategy 3
271,Russian Federation,NMC111,473.8137194581239,2025,Strategy 3
272,Russian Federation,NMC622,193.30524765835688,2025,Strategy 3
273,Russian Federation,NMC811,93.55944286961916,2025,Strategy 3
274,Russian Federation,NMC523,463.9845820691864,2025,Strategy 3
275,Russian Federation,NCA,1182.7028790519828,2025,Strategy 3
276,Serbia,LFP,0.0,2025,Strategy 3
277,Serbia,NMC111,17.36481712042114,2025,Strategy 3
278,Serbia,NMC622,6.623055983094528,2025,Strategy 3
279,Serbia,NMC811,3.320302911628752,2025,Strategy 3
280,Serbia,NMC523,15.54042434469325,2025,Strategy 3
281,Serbia,NCA,41.96758516199757,2025,Strategy 3
282,Turkey,LFP,0.0,2025,Strategy 3
283,Turkey,NMC111,713.3859489358853,2025,Strategy 3
284,Turkey,NMC622,328.250788081956,2025,Strategy 3
285,Turkey,NMC811,183.1303216600025,2025,Strategy 3
286,Turkey,NMC523,749.1399281421608,2025,Strategy 3
287,Turkey,NCA,2000.6789791742196,2025,Strategy 3
288,USA,LFP,10.303454819175323,2025,Strategy 3
289,USA,NMC111,6325.56456192339,2025,Strategy 3
290,USA,NMC622,2965.1109605393426,2025,Strategy 3
291,USA,NMC811,2271.979425245519,2025,Strategy 3
292,USA,NMC523,6911.939870647501,2025,Strategy 3
293,USA,NCA,54703.65482703285,2025,Strategy 3
294,Canada,LFP,0.0,2025,Strategy 3
295,Canada,NMC111,1248.719152745213,2025,Strategy 3
296,Canada,NMC622,602.8156483363596,2025,Strategy 3
297,Canada,NMC811,361.7635783045187,2025,Strategy 3
298,Canada,NMC523,1322.2993451207988,2025,Strategy 3
299,Canada,NCA,3893.7313635310456,2025,Strategy 3
300,Brazil,LFP,0.0,2025,Strategy 3
301,Brazil,NMC111,335.85331720237,2025,Strategy 3
302,Brazil,NMC622,204.5802667700036,2025,Strategy 3
303,Brazil,NMC811,159.4369004686885,2025,Strategy 3
304,Brazil,NMC523,414.33045417984596,2025,Strategy 3
305,Brazil,NCA,1312.063922716729,2025,Strategy 3
306,Australia,LFP,0.0,2025,Strategy 3
307,Australia,NMC111,205.30316443191768,2025,Strategy 3
308,Australia,NMC622,109.24141007190042,2025,Strategy 3
309,Australia,NMC811,69.91020317540425,2025,Strategy 3
310,Australia,NMC523,231.8088490878003,2025,Strategy 3
311,Australia,NCA,700.3084899252249,2025,Strategy 3
312,Czechia,LFP,0.3282341834575253,2025,Strategy 3
313,Czechia,NMC111,57.89088938849815,2025,Strategy 3
314,Czechia,NMC622,30.770840793915575,2025,Strategy 3
315,Czechia,NMC811,16.98350211251918,2025,Strategy 3
316,Czechia,NMC523,63.99293366715537,2025,Strategy 3
317,Czechia,NCA,97.2004888368253,2025,Strategy 3
318,Netherlands,LFP,12.8804970177638,2025,Strategy 3
319,Netherlands,NMC111,2328.9292269264197,2025,Strategy 3
320,Netherlands,NMC622,1261.8284100071075,2025,Strategy 3
321,Netherlands,NMC811,569.0451761909502,2025,Strategy 3
322,Netherlands,NMC523,2694.8409958796387,2025,Strategy 3
323,Netherlands,NCA,3852.3410082025166,2025,Strategy 3
324,Belgium,LFP,7.720277108459332,2025,Strategy 3
325,Belgium,NMC111,1470.1032409527545,2025,Strategy 3
