,country,type,recycling_m,scrap,year,Strategy type
519,Romania,NCA,Direct,44.180419116982506,2025,Strategy 3
507,Romania,NMC111,Direct,26.26259465537795,2025,Strategy 3
516,Romania,NMC523,Direct,29.050651215148793,2025,Strategy 3
510,Romania,NMC622,Direct,13.985614929398997,2025,Strategy 3
513,Romania,NMC811,Direct,7.759192079580195,2025,Strategy 3
288,Russian Federation,LFP,Direct,0.0,2025,Strategy 3
303,Russian Federation,NCA,Direct,1182.7028790519828,2025,Strategy 3
291,Russian Federation,NMC111,Direct,473.8137194581239,2025,Strategy 3
300,Russian Federation,NMC523,Direct,463.9845820691864,2025,Strategy 3
294,Russian Federation,NMC622,Direct,193.30524765835688,2025,Strategy 3
297,Russian Federation,NMC811,Direct,93.55944286961916,2025,Strategy 3
306,Serbia,LFP,Direct,0.0,2025,Strategy 3
321,Serbia,NCA,Direct,41.96758516199757,2025,Strategy 3
309,Serbia,NMC111,Direct,17.36481712042114,2025,Strategy 3
318,Serbia,NMC523,Direct,15.54042434469325,2025,Strategy 3
312,Serbia,NMC622,Direct,6.623055983094528,2025,Strategy 3
315,Serbia,NMC811,Direct,3.320302911628752,2025,Strategy 3
198,Slovakia,LFP,Direct,0.34590056487775317,2025,Strategy 3
213,Slovakia,NCA,Direct,102.08169236010686,2025,Strategy 3
201,Slovakia,NMC111,Direct,60.80205462285794,2025,Strategy 3
210,Slovakia,NMC523,Direct,67.11007990582388,2025,Strategy 3
204,Slovakia,NMC622,Direct,32.26991348603289,2025,Strategy 3
207,Slovakia,NMC811,Direct,17.89849798634476,2025,Strategy 3
216,Spain,LFP,Direct,9.164184131612396,2025,Strategy 3
231,Spain,NCA,Direct,2669.3234972948644,2025,Strategy 3
220,Spain,NMC111,Hydro,1631.548012988273,2025,Strategy 3
229,Spain,NMC523,Hydro,1782.9865078403823,2025,Strategy 3
222,Spain,NMC622,Direct,843.4720401157062,2025,Strategy 3
225,Spain,NMC811,Direct,449.0576106803842,2025,Strategy 3
234,Sweden,LFP,Direct,15.967049995949674,2025,Strategy 3
249,Sweden,NCA,Direct,4272.22214936539,2025,Strategy 3
238,Sweden,NMC111,Hydro,2633.3106103635723,2025,Strategy 3
247,Sweden,NMC523,Hydro,2877.735903915018,2025,Strategy 3
240,Sweden,NMC622,Direct,1351.7842046948688,2025,Strategy 3
243,Sweden,NMC811,Direct,690.6345508063249,2025,Strategy 3
486,Switzerland,LFP,Direct,0.0,2025,Strategy 3
501,Switzerland,NCA,Direct,1807.2813146674528,2025,Strategy 3
