,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
118,MEX,USA,868.0,3037.916,44827.488496000005,2026,Strategy 2
119,NIC,USA,102.0,3117.858,5406.365772,2026,Strategy 2
120,PAN,USA,83.0,3339.086,4711.450346,2026,Strategy 2
121,SLV,USA,86.0,3049.378,4458.190636000001,2026,Strategy 2
122,IRL,GBR,372.0,460.4115,2911.642326,2026,Strategy 2
0,ABW,DEU,16.0,8474.606,2305.0928320000003,2026,Strategy 3
1,AGO,DEU,36.0,6830.042,4179.985704000001,2026,Strategy 3
2,ALB,DEU,13.0,1336.744,295.420424,2026,Strategy 3
3,AND,DEU,1.0,1427.727,24.271359000000004,2026,Strategy 3
4,ARE,DEU,1973.0,4641.608,155684.17392800003,2026,Strategy 3
5,ARG,DEU,743.0,11934.32,150742.39592,2026,Strategy 3
6,ARM,DEU,24.0,2724.171,1111.461768,2026,Strategy 3
7,AUT,DEU,6470.0,523.9359,57627.709640999994,2026,Strategy 3
8,AZE,DEU,89.0,3063.72,4635.408359999999,2026,Strategy 3
9,BDI,DEU,29.0,6398.854,3154.6350220000004,2026,Strategy 3
10,BEN,DEU,21.0,5214.769,1861.6725330000002,2026,Strategy 3
11,BFA,DEU,69.0,4672.844,5481.246012,2026,Strategy 3
12,BGR,DEU,62.0,1322.494,1393.908676,2026,Strategy 3
13,BHR,DEU,18.0,4259.616,1303.4424960000001,2026,Strategy 3
14,BIH,DEU,31.0,1033.222,544.507994,2026,Strategy 3
15,BLR,DEU,287.0,948.8527,4629.452323300001,2026,Strategy 3
16,BMU,DEU,15.0,6461.397,1647.6562350000002,2026,Strategy 3
17,BOL,DEU,245.0,10954.67,45626.20055,2026,Strategy 3
18,BRB,DEU,4.0,7717.745,524.8066600000001,2026,Strategy 3
19,BWA,DEU,84.0,8687.009,12405.048852000002,2026,Strategy 3
20,CHL,DEU,59.0,12542.61,12580.23783,2026,Strategy 3
21,CIV,DEU,38.0,5365.942,3466.398532,2026,Strategy 3
22,CMR,DEU,6.0,5421.212,552.9636240000001,2026,Strategy 3
23,COG,DEU,25.0,6320.371,2686.157675,2026,Strategy 3
24,COL,DEU,698.0,9505.208,112788.79812800001,2026,Strategy 3
