,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
47,Estonia,-1064662.1328198903,3.827589601429241,-278.1547249533597,baseline,baseline
48,Eswatini,-357872.2975274919,0.307492536822645,-1163.840596670822,baseline,baseline
49,Ethiopia,-2440777.0459765717,14.176382948365564,-172.17205932335344,baseline,baseline
50,Fiji,-1493185.437584531,5.224056150288194,-285.82874965885594,baseline,baseline
51,Finland,-14593680.94697468,700.5736048355573,-20.831045940419344,baseline,baseline
52,France,-19700843.463540815,8838.814220433167,-2.228901182015717,baseline,baseline
53,French Polynesia,-1471997.452048389,5.0884725864720535,-289.2808061817537,baseline,baseline
54,Georgia,-735665.5778714293,1.8847826486414285,-390.3185220861965,baseline,baseline
55,Germany,7881925.462519889,19428.773171710218,0.4056831274347562,baseline,baseline
56,Ghana,-3014905.1240838543,22.751007515124385,-132.5174334402382,baseline,baseline
57,Greece,-10428146.398456512,318.6301090799818,-32.728063360260975,baseline,baseline
58,Greenland,-102209.75465800657,0.053560126935434,-1908.3180064382414,baseline,baseline
59,Grenada,-387699.3209940948,0.4076268155660683,-951.1133865315012,baseline,baseline
60,Guatemala,-3924281.841832511,39.63704984779116,-99.00539664031524,baseline,baseline
61,Guinea,-202916.8103551175,0.2249182133388725,-902.1804296897617,baseline,baseline
62,Guyana,-1050112.6255495641,2.8425493489743587,-369.42634819285126,baseline,baseline
63,Honduras,-1767425.9457597125,8.222179504119094,-214.95832642358138,baseline,baseline
64,Hungary,-2958094.5244275667,24.33236677283727,-121.57035737804797,baseline,baseline
65,Iceland,-6565901.468077098,145.78667171742848,-45.0377348678587,baseline,baseline
66,India,-15856665.325062146,280.75550250142004,-56.47855583874779,baseline,baseline
67,Indonesia,-19824505.96127584,1009.2201881831016,-19.643390207013084,baseline,baseline
68,Iran,-9110560.350498306,52.02852953383725,-175.1070120975294,baseline,baseline
