iso_o,iso_d,distcap
BEN,SWE,6022.843000000001
BEN,THA,10673.14
BEN,TUR,4779.438
BEN,USA,8679.125
BEN,VNM,11102.11
BEN,YUG,4599.222
BFA,AUS,16141.25
BFA,BEL,4319.717000000001
BFA,BRA,5976.188
BFA,CAN,7800.254
BFA,CHE,3946.0440000000003
BFA,CHN,11404.37
BFA,CZE,4453.064
BFA,DEU,4672.844
BFA,ESP,3132.095
BFA,FIN,5752.584
BFA,FRA,4082.87
BFA,GBR,4361.322
BFA,HUN,4364.332
BFA,IND,8289.058
BFA,ITA,3564.4840000000004
BFA,JPN,13325.56
BFA,KOR,12325.82
BFA,NLD,4492.509
BFA,NOR,5394.236999999999
BFA,POL,4883.896
BFA,ROM,4444.134
BFA,RUS,5900.391
BFA,SVK,4353.893
BFA,SWE,5482.089
BFA,THA,10972.56
BFA,TUR,4566.718
BFA,USA,7895.109
BFA,VNM,11288.78
BFA,YUG,4185.92
BGD,AUS,9022.997
BGD,BEL,7724.392
BGD,BRA,15591.09
BGD,CAN,12212.45
BGD,CHE,7595.7080000000005
BGD,CHN,3036.238
BGD,CZE,7032.401
BGD,DEU,7077.438
BGD,ESP,8661.471
BGD,FIN,6389.695
BGD,FRA,7916.79
BGD,GBR,8011.9
BGD,HUN,6718.291
BGD,IND,1421.9379999999999
BGD,ITA,7311.514
BGD,JPN,4903.568
BGD,KOR,3800.079
BGD,NLD,7651.715999999999
BGD,NOR,7178.6759999999995
BGD,POL,6564.271
BGD,ROM,6184.488
BGD,RUS,5548.405
BGD,SVK,6853.285
BGD,SWE,6767.017
BGD,THA,1538.62
BGD,TUR,5628.797
BGD,USA,12946.79
BGD,VNM,1622.246
BGD,YUG,6627.005
BGR,AUS,15357.47
BGR,BEL,1699.6860000000001
BGR,BRA,9738.726
BGR,CAN,7379.4580000000005
BGR,CHE,1337.5720000000001
BGR,CHN,7364.446999999999
BGR,CZE,1069.866
BGR,DEU,1322.494
BGR,ESP,2254.799
BGR,FIN,1947.4470000000001
BGR,FRA,1760.707
BGR,GBR,2019.3410000000001
BGR,HUN,632.9641
BGR,IND,5029.554
BGR,ITA,893.0574
BGR,JPN,9191.48
BGR,KOR,8244.246
BGR,NLD,1745.082
BGR,NOR,2101.033
BGR,POL,1080.42
BGR,ROM,299.2593
BGR,RUS,1785.898
BGR,SVK,776.8502
BGR,SWE,1889.219
BGR,THA,7945.512
BGR,TUR,854.0502
BGR,USA,7920.095
BGR,VNM,7859.746
BGR,YUG,329.8515
BHR,AUS,12388.36
BHR,BEL,4761.638
BHR,BRA,11617.3
BHR,CAN,10391.83
BHR,CHE,4421.287
BHR,CHN,6184.87
BHR,CZE,4069.985
BHR,DEU,4259.616
BHR,ESP,5210.13
BHR,FIN,4253.122
BHR,FRA,4843.391
BHR,GBR,5085.170999999999
BHR,HUN,3634.844
BHR,IND,2634.9190000000003
BHR,ITA,3883.804
BHR,JPN,8282.34
BHR,KOR,7136.0019999999995
BHR,NLD,4778.667
BHR,NOR,4824.977
BHR,POL,3812.283
BHR,ROM,2989.69
BHR,RUS,3450.9240000000004
BHR,SVK,3793.893
BHR,SWE,4457.209
BHR,THA,5363.826999999999
BHR,TUR,2247.209
BHR,USA,10974.03
BHR,VNM,5621.641
BHR,YUG,3395.083
BHS,AUS,15464.67
BHS,BEL,7313.008000000001
BHS,BRA,5556.084
BHS,CAN,2268.131
BHS,CHE,7626.146
BHS,CHN,12659.7
BHS,CZE,8024.927
BHS,DEU,7877.293000000001
BHS,ESP,6901.420999999999
BHS,FIN,8264.933
BHS,FRA,7209.45
BHS,GBR,6990.2480000000005
BHS,HUN,8441.591999999999
BHS,IND,13465.89
BHS,ITA,8174.021
BHS,JPN,12227.93
BHS,KOR,12617.7
BHS,NLD,7320.031
BHS,NOR,7517.311
BHS,POL,8373.694
BHS,ROM,9081.055
BHS,RUS,9155.123
BHS,SVK,8283.603000000001
BHS,SWE,7932.745
BHS,THA,15707.2
BHS,TUR,9809.767
BHS,USA,1534.43
BHS,VNM,14891.31
BHS,YUG,8658.867
BIH,AUS,15764.51
BIH,BEL,1311.355
BIH,BRA,9442.659
BIH,CAN,6990.0830000000005
BIH,CHE,924.4724
BIH,CHN,7615.6990000000005
BIH,CZE,757.0533
BIH,DEU,1033.222
BIH,ESP,1861.879
BIH,FIN,1863.34
BIH,FRA,1352.463
BIH,GBR,1625.285
BIH,HUN,407.2162
BIH,IND,5421.039000000001
BIH,ITA,531.7457
BIH,JPN,9380.609
BIH,KOR,8473.069
BIH,NLD,1375.3870000000002
BIH,NOR,1859.721
BIH,POL,952.2305
BIH,ROM,616.4865
BIH,RUS,1902.116
BIH,SVK,488.4783
BIH,SWE,1721.592
BIH,THA,8331.858
BIH,TUR,1270.0810000000001
BIH,USA,7519.446999999999
BIH,VNM,8216.021
BIH,YUG,196.5349
BLR,AUS,15134.58
BLR,BEL,1601.9029999999998
BLR,BRA,10505.83
BLR,CAN,6820.474
BLR,CHE,1609.652
BLR,CHN,6480.601
BLR,CZE,986.3660000000001
BLR,DEU,948.8527
BLR,ESP,2762.7
BLR,FIN,715.4365
BLR,FRA,1823.7089999999998
BLR,GBR,1873.0720000000001
BLR,HUN,923.2194
BLR,IND,4876.771
BLR,ITA,1732.921
BLR,JPN,8145.003000000001
BLR,KOR,7292.729
BLR,NLD,1512.9520000000002
BLR,NOR,1216.697
BLR,POL,469.7038
BLR,ROM,1054.6889999999999
BLR,RUS,686.9657
BLR,SVK,959.4427
BLR,SWE,838.4113
BLR,THA,7673.706999999999
BLR,TUR,1600.6860000000001
BLR,USA,7450.31
BLR,VNM,7388.299
BLR,YUG,1123.343
BMU,AUS,16893.04
BMU,BEL,5879.001
BMU,BRA,5645.9619999999995
BMU,CAN,1736.009
BMU,CHE,6175.986
BMU,CHN,11995.19
BMU,CZE,6594.994000000001
BMU,DEU,6461.397
BMU,ESP,5440.475
BMU,FIN,6933.8640000000005
BMU,FRA,5764.3240000000005
BMU,GBR,5558.09
BMU,HUN,7003.594
BMU,IND,12154.21
BMU,ITA,6714.033
BMU,JPN,12047.48
BMU,KOR,12169.14
BMU,NLD,5895.736
BMU,NOR,6163.986999999999
BMU,POL,6965.845
BMU,ROM,7638.945
BMU,RUS,7813.284000000001
BMU,SVK,6846.599
BMU,SWE,6581.55
BMU,THA,14676.34
BMU,TUR,8361.496
BMU,USA,1322.3970000000002
BMU,VNM,14017.09
BMU,YUG,7211.621999999999
BOL,AUS,12976.39
BOL,BEL,10306.71
BOL,BRA,1876.6889999999999
BOL,CAN,7256.7880000000005
BOL,CHE,10316.05
BOL,CHN,17709.48
BOL,CZE,10927.15
BOL,DEU,10954.67
BOL,ESP,9179.228000000001
BOL,FIN,11863.7
BOL,FRA,10075.46
BOL,GBR,10068.01
BOL,HUN,11155.72
BOL,IND,16086.52
BOL,ITA,10457.17
BOL,JPN,16965.66
BOL,KOR,17663.53
BOL,NLD,10417.91
BOL,NOR,11095.28
BOL,POL,11435.78
BOL,ROM,11594.79
BOL,RUS,12567.85
BOL,SVK,11044.33
BOL,SWE,11465.82
BOL,THA,18401.02
BOL,TUR,12040.02
BOL,USA,6565.147
BOL,VNM,19080.63
BOL,YUG,11176.52
BRB,AUS,16236.54
BRB,BEL,7070.991
BRB,BRA,3463.008
BRB,CAN,3905.107
BRB,CHE,7218.53
BRB,CHN,14118.99
BRB,CZE,7766.896
BRB,DEU,7717.745
BRB,ESP,6205.880999999999
BRB,FIN,8457.875
BRB,FRA,6882.34
BRB,GBR,6783.758000000001
BRB,HUN,8097.8640000000005
BRB,IND,13467.32
BRB,ITA,7572.592
BRB,JPN,14235.72
BRB,KOR,14359.76
BRB,NLD,7144.036
BRB,NOR,7667.395
BRB,POL,8230.891
BRB,ROM,8665.211
BRB,RUS,9265.654
BRB,SVK,7957.265
BRB,SWE,8068.689
BRB,THA,16328.92
BRB,TUR,9292.653
BRB,USA,3340.145
BRB,VNM,15918.28
BRB,YUG,8218.109
BRN,AUS,5727.254
BRN,BEL,11008.65
BRN,BRA,17806.82
BRN,CAN,14329.95
BRN,CHE,10925.83
BRN,CHN,3896.4
BRN,CZE,10341.36
BRN,DEU,10355.61
BRN,ESP,12015.61
BRN,FIN,9539.076
BRN,FRA,11219.33
BRN,GBR,11275.72
BRN,HUN,10055.06
BRN,IND,4773.090999999999
BRN,ITA,10673.06
BRN,JPN,4260.378
BRN,KOR,3825.485
BRN,NLD,10917.29
BRN,NOR,10324.64
BRN,POL,9852.365
BRN,ROM,9541.601999999999
BRN,RUS,8767.516
BRN,SVK,10183.43
BRN,SWE,9933.586
BRN,THA,1864.9089999999999
BRN,TUR,8992.317
BRN,USA,15005.51
BRN,VNM,2042.273
BRN,YUG,9981.169
BWA,AUS,11068.07
BWA,BEL,8675.436
BWA,BRA,7687.095
BWA,CAN,12827.9
BWA,CHE,8193.798
BWA,CHN,11792.98
BWA,CZE,8407.657
BWA,DEU,8687.009
BWA,ESP,7875.38
BWA,FIN,9447.815999999999
BWA,FRA,8522.764000000001
BWA,GBR,8862.068000000001
BWA,HUN,8070.812
BWA,IND,8087.728
BWA,ITA,7543.876
BWA,JPN,13671.53
BWA,KOR,12595.07
BWA,NLD,8821.605
BWA,NOR,9524.811
BWA,POL,8583.423
BWA,ROM,7698.221
BWA,RUS,9029.161
BWA,SVK,8162.5419999999995
BWA,SWE,9386.11
BWA,THA,9152.597
BWA,TUR,7234.71
BWA,USA,12786.42
BWA,VNM,10031.04
BWA,YUG,7764.126
CHL,AUS,11326.56
CHL,BEL,11904.94
CHL,BRA,3017.946
CHL,CAN,8798.453000000001
CHL,CHE,11866.25
CHL,CHN,19079.88
CHL,CZE,12487.06
CHL,DEU,12542.61
CHL,ESP,10715.11
CHL,FIN,13501.46
CHL,FRA,11663.39
CHL,GBR,11685.42
CHL,HUN,12670.03
CHL,IND,16936.54
CHL,ITA,11923.97
CHL,JPN,17247.38
CHL,KOR,18375.18
CHL,NLD,12027.16
CHL,NOR,12747.34
CHL,POL,13002.47
CHL,ROM,13040.96
CHL,RUS,14153.3
CHL,SVK,12573.23
CHL,SWE,13104.44
CHL,THA,17659.3
CHL,TUR,13383.32
CHL,USA,8080.885
CHL,VNM,18603.05
CHL,YUG,12649.38
CIV,AUS,15925.08
CIV,BEL,4979.227
CIV,BRA,5328.784000000001
CIV,CAN,7953.029
CIV,CHE,4628.429
CIV,CHN,12121.88
CIV,CZE,5154.901
CIV,DEU,5365.941999999999
CIV,ESP,3742.5229999999997
CIV,FIN,6454.895
CIV,FRA,4734.325
CIV,GBR,4995.1179999999995
CIV,HUN,5083.071
CIV,IND,8923.044
CIV,ITA,4278.8640000000005
CIV,JPN,14055.33
CIV,KOR,13048.33
CIV,NLD,5152.225
CIV,NOR,6062.5830000000005
CIV,POL,5596.840999999999
CIV,ROM,5174.286
CIV,RUS,6626.375
CIV,SVK,5067.312
CIV,SWE,6172.094
CIV,THA,11523.82
CIV,TUR,5290.526
CIV,USA,7959.889
CIV,VNM,11905.11
CIV,YUG,4911.424
CMR,AUS,14448.03
CMR,BEL,5272.0109999999995
CMR,BRA,6895.956999999999
CMR,CAN,9495.282
CMR,CHE,4813.109
CMR,CHN,11002.26
CMR,CZE,5154.902
CMR,DEU,5421.2119999999995
CMR,ESP,4347.477
CMR,FIN,6368.713000000001
CMR,FRA,5085.718
CMR,GBR,5413.581
CMR,HUN,4911.726
CMR,IND,7444.170999999999
CMR,ITA,4234.210999999999
CMR,JPN,13083.03
CMR,KOR,11957.9
CMR,NLD,5432.491999999999
CMR,NOR,6240.519
CMR,POL,5457.721
CMR,ROM,4736.252
CMR,RUS,6231.045999999999
CMR,SVK,4961.85
CMR,SWE,6201.053000000001
CMR,THA,9805.571
CMR,TUR,4552.942
CMR,USA,9619.743
CMR,VNM,10313.96
CMR,YUG,4645.17
COG,AUS,13516.93
COG,BEL,6216.578
COG,BRA,7014.479
COG,CAN,10425.99
COG,CHE,5748.048000000001
COG,CHN,11274.53
COG,CZE,6047.745
COG,DEU,6320.371
COG,ESP,5332.644
COG,FIN,7214.771
COG,FRA,6041.018
COG,GBR,6373.541
COG,HUN,5770.005999999999
COG,IND,7559.6669999999995
COG,ITA,5140.217000000001
COG,JPN,13371.68
COG,KOR,12217.9
COG,NLD,6372.8730000000005
COG,NOR,7150.677
COG,POL,6310.153
COG,ROM,5522.741999999999
