year,Strategy type,choice_mode,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,recycling_CO2_em,total_netprofits,total_costs
2050,Strategy 1,Optimal_profit,60871024.90044919,1772802.5196618284,1642843.521728254,129958.99793357492,146896174.80148494,520178919185.91284,19144690014.114414
2050,Strategy 1,Realistic_multiobjective,60871024.90044919,1772802.5196618286,1644813.495464451,127989.02419737745,132692744.6106558,452554902416.21814,13295751403.06465
2050,Strategy 2,Optimal_lithium,137057054.38080177,3976846.6921599098,3690116.04565518,286730.6465047297,290916530.6535161,985607940352.2174,5681329500.642554
2050,Strategy 2,Optimal_multiobjective,137057054.38080177,3976846.6921599098,3686887.647364851,289959.044795059,303808106.96197855,1127526625722.4033,8982375733.745922
2050,Strategy 2,Optimal_profit,137057054.38080177,3976846.6921599098,3685088.83414845,291757.8580114602,330241239.65764916,1166854785230.608,11285722430.048143
2050,Strategy 2,Realistic_multiobjective,137057054.38080177,3976846.6921599098,3689584.498435409,287262.19372450083,292300552.8258001,1010861214977.9442,6443016101.4401865
2050,Strategy 3,Optimal_lithium,167467209.6299702,4866143.7734716255,4515294.807404321,350848.9660673045,360833091.10160464,1224881312491.1543,5695048066.126516
2050,Strategy 3,Optimal_multiobjective,167467209.6299702,4866143.7734716255,4511181.608996843,354962.16447478253,377327681.4949888,1406314369425.5225,9077561112.732376
2050,Strategy 3,Optimal_profit,167467209.6299702,4866143.7734716255,4509223.574191506,356920.1992801198,404124505.1089681,1447209160084.12,11392938638.558062
2050,Strategy 3,Realistic_multiobjective,167467209.6299702,4866143.7734716255,4514656.467613595,351487.3058580306,362495175.6558171,1255341724695.1252,6475750577.17001
