,CAN,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,USA
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29961.0,0.0,0.0,0.0
BRA,13698.0,0.0,122073.0,0.0,66652.0,104899.0,0.0,0.0,0.0,0.0,0.0,6353.0
CZE,0.0,0.0,0.0,0.0,8748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,0.0,3313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,0.0,62353.0,0.0,0.0,0.0,51502.0,0.0,0.0,0.0
DEU,0.0,0.0,0.0,0.0,129979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,0.0,101311.0,0.0,0.0,27658.0,0.0,633.0,400.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17939.0,0.0,0.0,0.0
POL,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,0.0,0.0,0.0,0.0,3583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,0.0,0.0,0.0,0.0,0.0
ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12360.0,0.0,0.0
TUR,0.0,0.0,7245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,0.0,0.0,0.0,0.0,0.0,22852.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,0.0,0.0,0.0,29832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtual_Supply,0.0,0.0,0.0,178691.0,108466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
