source_iso3,battery_type,destination_iso3,technology,scrap_t,unit_cost,transport_unit_cost,recycling_unit_cost,carbon_unit_cost,policy_unit_cost,transport_cost,recycling_cost,carbon_cost,policy_cost,is_unprocessed,domestic_priority_reserved,li_content,contained_lithium_t,li_recovery_efficiency,recovered_lithium_t,battery_embedded_secondary_li_t,CO2_new_g_per_kg,recycling_CO2_t,year,policy_scenario,strategy
GRL,NMC111,CHN,Hydro,0.0417560558905709,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.010523644729161176,0.04180349077006258,0.0004914264253347167,0.0,False,False,0.0375,0.0015658520958964088,0.8821,0.0013812381337902223,0.0013812381337902223,939.1747405,0.03921623295533043,2030,route_access_open,Strategy 3
GRL,NMC523,CHN,Hydro,0.0403758826890974,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.010175804107549785,0.0404217496918322,0.0004751831866409,0.0,False,False,0.035,0.001413155894118409,0.8821,0.0012465448142018486,0.0012465448142018486,939.3492076,0.037927053410154205,2030,route_access_open,Strategy 3
GRL,NMC622,CHN,Hydro,0.018877297884583,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.004757584789725244,0.01889874249497988,0.00022216664916127924,0.0,False,False,0.0325,0.0006135121812489475,0.8821,0.0005411790950796965,0.0005411790950796965,970.9704299,0.018329298042343914,2030,route_access_open,Strategy 3
GRL,NMC811,CHN,Hydro,0.0141031318086329,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.003554367038676644,0.014119152966367505,0.00016597955680737177,0.0,False,False,0.0275,0.0003878361247374047,0.8821,0.00034211024563086473,0.00034211024563086473,1063.116435,0.01499327121072891,2030,route_access_open,Strategy 3
GRL,TLB,CHN,Hydro,0.2461449773625539,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.06203512851930712,0.2464245980568377,0.002896876722657361,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
GTM,NCA,CHN,Hydro,229.1784171753289,1.4134499857160499,0.400545,1.0011359999999998,0.011768985716050055,0.0,91.79626910749211,229.43876385724002,2.6971975181634065,0.0,False,False,0.025,5.729460429383223,0.8821,5.053957044758941,5.053957044758941,930.4787808,213.2456541989738,2030,route_access_open,Strategy 3
GTM,NMC111,CHN,Hydro,59.41710079010072,1.4134499857160499,0.400545,1.0011359999999998,0.011768985716050055,0.0,23.799222635970892,59.48459861659826,0.6992790104878018,0.0,False,False,0.0375,2.228141279628777,0.8821,1.9654434227605442,1.9654434227605442,939.1747405,55.80304021580519,2030,route_access_open,Strategy 3
GTM,NMC523,CHN,Hydro,72.26775454305601,1.4134499857160499,0.400545,1.0011359999999998,0.011768985716050055,0.0,28.94648774344837,72.3498507122169,0.8505181709482377,0.0,False,False,0.035,2.5293714090069606,0.8821,2.23115851988504,2.23115851988504,939.3492076,67.88465796505096,2030,route_access_open,Strategy 3
GTM,NMC622,CHN,Hydro,35.7124686369051,1.4134499857160499,0.400545,1.0011359999999998,0.011768985716050055,0.0,14.304450750169153,35.753038001276614,0.4202995332726217,0.0,False,False,0.0325,1.1606552306994158,0.8821,1.0238139789999547,1.0238139789999547,970.9704299,34.675751025166015,2030,route_access_open,Strategy 3
GTM,NMC811,CHN,Hydro,28.12856907714413,1.4134499857160499,0.400545,1.0011359999999998,0.011768985716050055,0.0,11.266757701004696,28.16052313161576,0.33104472768183657,0.0,False,False,0.0275,0.7735356496214636,0.8821,0.682335796531093,0.682335796531093,1063.116435,29.903944078944708,2030,route_access_open,Strategy 3
