source_iso3,destination_iso3,route_access_open_li_t,policy_accessible_li_t,route_access_delta_li_t,route_access_loss_li_t,year,policy_scenario
GBR,GBR,1892.4740654889915,1381.3129043854326,-511.1611611035589,511.1611611035589,2030,strict_policy
GEO,CHN,0.3427786960430338,0.0,-0.3427786960430338,0.3427786960430338,2030,strict_policy
GRC,CHN,478.01148893521037,0.0,-478.01148893521037,478.01148893521037,2030,strict_policy
GRD,CHN,0.1921938627871805,0.0,-0.1921938627871805,0.1921938627871805,2030,strict_policy
GRL,CHN,0.0064038075853813,0.0,-0.0064038075853813,0.0064038075853813,2030,strict_policy
GTM,CHN,10.956708762935573,0.0,-10.956708762935573,10.956708762935573,2030,strict_policy
GUY,CHN,3.869103249446164,0.0,-3.869103249446164,3.869103249446164,2030,strict_policy
HND,CHN,1.5131643995036899,0.0,-1.5131643995036899,1.5131643995036899,2030,strict_policy
HRV,CHN,7.649814937825724,0.0,-7.649814937825724,7.649814937825724,2030,strict_policy
IND,IND,292.1044137462397,292.10441374623963,-5.684341886080802e-14,5.684341886080802e-14,2030,strict_policy
IRL,CHN,63.44407231868116,0.0,-63.44407231868116,63.44407231868116,2030,strict_policy
ISL,CHN,11.894165126848897,0.0,-11.894165126848897,11.894165126848897,2030,strict_policy
ITA,CHN,387.5235681706707,0.0,-387.5235681706707,387.5235681706707,2030,strict_policy
ITA,ITA,2394.2337070031303,1253.4161998146938,-1140.8175071884366,1140.8175071884366,2030,strict_policy
JAM,CHN,0.0324063357912431,0.0,-0.0324063357912431,0.0324063357912431,2030,strict_policy
KAZ,CHN,10.518325494876764,0.0,-10.518325494876764,10.518325494876764,2030,strict_policy
KGZ,CHN,0.0583527564089482,0.0,-0.0583527564089482,0.0583527564089482,2030,strict_policy
KIR,CHN,0.010005556874356001,0.0,-0.010005556874356001,0.010005556874356001,2030,strict_policy
LCA,CHN,0.0733480235176478,0.0,-0.0733480235176478,0.0733480235176478,2030,strict_policy
LTU,CHN,11.04089346742371,0.0,-11.04089346742371,11.04089346742371,2030,strict_policy
LUX,CHN,10.014340877890717,0.0,-10.014340877890717,10.014340877890717,2030,strict_policy
LVA,CHN,6.637288275542524,0.0,-6.637288275542524,6.637288275542524,2030,strict_policy
MDA,CHN,1.3793251170175813,0.0,-1.3793251170175813,1.3793251170175813,2030,strict_policy
MEX,CHN,66.57777025091274,0.0,-66.57777025091274,66.57777025091274,2030,strict_policy
MKD,CHN,0.8130944948308653,0.0,-0.8130944948308653,0.8130944948308653,2030,strict_policy
MLT,CHN,2.6262060492074966,0.0,-2.6262060492074966,2.6262060492074966,2030,strict_policy
MNG,CHN,1.066677096338608,0.0,-1.066677096338608,1.066677096338608,2030,strict_policy
NCL,CHN,0.001314807569113397,0.0,-0.001314807569113397,0.001314807569113397,2030,strict_policy
NIC,CHN,3.4766591308152424,0.0,-3.4766591308152424,3.4766591308152424,2030,strict_policy
NLD,NLD,605.0224316273309,180.97654885238057,-424.0458827749503,424.0458827749503,2030,strict_policy
NPL,CHN,1.3596450490381184,0.0,-1.3596450490381184,1.3596450490381184,2030,strict_policy
NZL,CHN,73.27291754140177,0.0,-73.27291754140177,73.27291754140177,2030,strict_policy
PAN,CHN,0.8363515301678831,0.0,-0.8363515301678831,0.8363515301678831,2030,strict_policy
PER,CHN,16.507386005736436,0.0,-16.507386005736436,16.507386005736436,2030,strict_policy
PHL,CHN,304.9263185850955,0.0,-304.9263185850955,304.9263185850955,2030,strict_policy
PLW,CHN,0.0129303200314183,0.0,-0.0129303200314183,0.0129303200314183,2030,strict_policy
PRT,CHN,351.17687551020856,0.0,-351.17687551020856,351.17687551020856,2030,strict_policy
PRY,IND,2.2559378996166983,0.0,-2.2559378996166983,2.2559378996166983,2030,strict_policy
PYF,CHN,1.3754500217300396,0.0,-1.3754500217300396,1.3754500217300396,2030,strict_policy
ROM,CHN,37.51715912030845,0.0,-37.51715912030845,37.51715912030845,2030,strict_policy
SEN,CHN,7.1218705609696755,0.0,-7.1218705609696755,7.1218705609696755,2030,strict_policy
SLB,CHN,0.0108055097593202,0.0,-0.0108055097593202,0.0108055097593202,2030,strict_policy
SLV,CHN,0.8083493902110411,0.0,-0.8083493902110411,0.8083493902110411,2030,strict_policy
SVK,RUS,73.08432295434267,0.0,-73.08432295434267,73.08432295434267,2030,strict_policy
SVK,SVK,22.610162393693777,0.0,-22.610162393693777,22.610162393693777,2030,strict_policy
SVN,CHN,10.162359760187881,0.0,-10.162359760187881,10.162359760187881,2030,strict_policy
TJK,CHN,0.2697844663552215,0.0,-0.2697844663552215,0.2697844663552215,2030,strict_policy
TON,CHN,2.065746906012958e-05,0.0,-2.065746906012958e-05,2.065746906012958e-05,2030,strict_policy
TTO,CHN,1.816745205874856,0.0,-1.816745205874856,1.816745205874856,2030,strict_policy
TUN,CHN,0.8082021252553487,0.0,-0.8082021252553487,0.8082021252553487,2030,strict_policy
TUR,CHN,119.88079578674555,0.0,-119.88079578674555,119.88079578674555,2030,strict_policy
UKR,CHN,4.189781259884113,0.0,-4.189781259884113,4.189781259884113,2030,strict_policy
URY,THA,1.1984504908245623,0.0,-1.1984504908245623,1.1984504908245623,2030,strict_policy
USA,CHN,428.3574647114209,0.0,-428.3574647114209,428.3574647114209,2030,strict_policy
UZB,CHN,3.514433673625888,0.0,-3.514433673625888,3.514433673625888,2030,strict_policy
VNM,CHN,138.72390488285265,0.0,-138.72390488285265,138.72390488285265,2030,strict_policy
VNM,VNM,110.2625,0.0,-110.2625,110.2625,2030,strict_policy
WSM,CHN,0.0087853742957077,0.0,-0.0087853742957077,0.0087853742957077,2030,strict_policy
ZMB,IND,0.1765452207783217,0.0,-0.1765452207783217,0.1765452207783217,2030,strict_policy
AGO,IND,0.2596146768518847,0.0,-0.2596146768518847,0.2596146768518847,2030,critical_route_policy
AND,RUS,0.0260478404576516,0.0,-0.0260478404576516,0.0260478404576516,2030,critical_route_policy
ARE,IND,20.09208260385509,0.0,-20.09208260385509,20.09208260385509,2030,critical_route_policy
ARG,THA,17.613694607852427,0.0,-17.613694607852427,17.613694607852427,2030,critical_route_policy
ARM,IND,0.1786287002108778,0.0,-0.1786287002108778,0.1786287002108778,2030,critical_route_policy
AUS,AUS,151.67355260381453,52.92292628445212,-98.75062631936241,98.75062631936241,2030,critical_route_policy
AUS,THA,75.74208983779178,0.0,-75.74208983779178,75.74208983779178,2030,critical_route_policy
AUT,RUS,362.46238374822406,0.0,-362.46238374822406,362.46238374822406,2030,critical_route_policy
AZE,IND,3.066692549256279,0.0,-3.066692549256279,3.066692549256279,2030,critical_route_policy
