policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
critical_route_policy,IRN,IND,1.0805387985449713,0.0,-1.0805387985449713
critical_route_policy,ISR,CHN,0.0,280.933074887622,280.933074887622
critical_route_policy,ISR,IND,280.933074887622,0.0,-280.933074887622
critical_route_policy,ITA,KOR,1957.7133765726062,2781.7572751738007,824.0438986011945
critical_route_policy,JOR,CHN,0.0,5.430616275529385,5.430616275529385
critical_route_policy,JOR,IND,5.430616275529385,0.0,-5.430616275529385
critical_route_policy,KEN,IND,26.820612181628853,0.0,-26.820612181628853
critical_route_policy,KEN,THA,0.0,26.820612181628853,26.820612181628853
critical_route_policy,KHM,CHN,0.0,3.360202907652922,3.360202907652922
critical_route_policy,KHM,THA,3.360202907652922,0.0,-3.360202907652922
critical_route_policy,KWT,CHN,0.0,0.2663511883688624,0.2663511883688624
critical_route_policy,KWT,IND,0.2663511883688624,0.0,-0.2663511883688624
critical_route_policy,LAO,CHN,0.0,9.728327622321315,9.728327622321315
critical_route_policy,LAO,THA,9.728327622321315,0.0,-9.728327622321315
critical_route_policy,LBN,CHN,0.0,12.775595071648294,12.775595071648294
critical_route_policy,LBN,IND,12.775595071648294,0.0,-12.775595071648294
critical_route_policy,LKA,CHN,0.0,80.99541029050567,80.99541029050567
critical_route_policy,LKA,THA,80.99541029050567,0.0,-80.99541029050567
critical_route_policy,LSO,CHN,0.0,0.4786912227032103,0.4786912227032103
critical_route_policy,LSO,THA,0.4786912227032103,0.0,-0.4786912227032103
critical_route_policy,LTU,CHN,0.0,11.04089346742371,11.04089346742371
critical_route_policy,LTU,RUS,11.04089346742371,0.0,-11.04089346742371
critical_route_policy,MAR,CHN,0.0,5.040514969209612,5.040514969209612
critical_route_policy,MAR,RUS,5.040514969209612,0.0,-5.040514969209612
critical_route_policy,MDG,CHN,0.0,1.1691187136602061,1.1691187136602061
critical_route_policy,MDG,THA,1.1691187136602061,0.0,-1.1691187136602061
critical_route_policy,MDV,CHN,0.0,0.4267740446579345,0.4267740446579345
critical_route_policy,MDV,THA,0.4267740446579345,0.0,-0.4267740446579345
critical_route_policy,MEX,CHN,66.57777025091274,0.0,-66.57777025091274
critical_route_policy,MEX,KOR,0.0,66.57777025091274,66.57777025091274
critical_route_policy,MLI,CHN,0.0,0.3112652727635186,0.3112652727635186
critical_route_policy,MLI,IND,0.3112652727635186,0.0,-0.3112652727635186
critical_route_policy,MMR,CHN,0.0,10.975389531290126,10.975389531290126
critical_route_policy,MMR,THA,10.975389531290126,0.0,-10.975389531290126
critical_route_policy,MUS,CHN,0.0,1.9708562503587554,1.9708562503587554
critical_route_policy,MUS,THA,1.9708562503587554,0.0,-1.9708562503587554
critical_route_policy,MWI,CHN,0.0,5.2227274501928935,5.2227274501928935
critical_route_policy,MWI,THA,5.2227274501928935,0.0,-5.2227274501928935
critical_route_policy,MYS,CHN,0.0,0.1725309570322216,0.1725309570322216
critical_route_policy,MYS,THA,0.1725309570322216,0.0,-0.1725309570322216
critical_route_policy,NAM,CHN,0.0,2.039702027618495,2.039702027618495
critical_route_policy,NAM,THA,2.039702027618495,0.0,-2.039702027618495
critical_route_policy,NER,CHN,0.0,1.0650268088349666,1.0650268088349666
critical_route_policy,NER,IND,1.0650268088349666,0.0,-1.0650268088349666
