Year,country,scenario,retired_lithium_t,collected_lithium_t,capture_loss_lithium_t,avg_collection_rate,capture_loss_share_of_retired,collected_share_of_retired
2030,Azerbaijan,high_collection,6.506796760602191,3.4765815091897503,3.03021525141244,0.5343,0.46569999999999995,0.5343
2030,Algeria,high_collection,6.461443681561986,3.4523493590585685,3.0090943225034166,0.5343,0.4657,0.5343
2030,Ethiopia,high_collection,6.0535678432951965,3.234421298672623,2.8191465446225727,0.5343,0.46569999999999995,0.5342999999999999
2030,Benin,high_collection,5.855424976311278,3.1285535648431155,2.7268714114681623,0.5343,0.4657,0.5342999999999999
2030,Burkina Faso,high_collection,5.700233006692044,3.04563449547556,2.654598511216485,0.5343,0.46570000000000006,0.5343000000000001
2030,Oman,high_collection,5.426781233565883,2.899529213094251,2.5272520204716313,0.5343,0.4656999999999999,0.5342999999999999
2030,Paraguay,high_collection,4.786567020194285,2.5574627588898067,2.2291042613044785,0.5343,0.46569999999999995,0.5343
2030,Yemen,high_collection,4.579066115437049,2.4465950254780156,2.132471089959034,0.5343,0.4657,0.5343
2030,Namibia,high_collection,4.327765608300185,2.312325164514789,2.015440443785396,0.5343,0.46569999999999995,0.5343
2030,Albania,high_collection,4.308826014940331,2.3022057397826186,2.006620275157712,0.5343,0.4657,0.5343
2030,Mauritius,high_collection,4.181691141016709,2.2342775766452276,1.9474135643714814,0.5343,0.46569999999999995,0.5343
2030,Botswana,high_collection,4.085236491170796,2.1827418572325556,1.9024946339382394,0.5343,0.46569999999999995,0.5342999999999999
2030,Iceland,high_collection,15.322635455226804,13.483919200599587,1.8387162546272167,0.88,0.12000000000000001,0.88
2030,Trinidad and Tobago,high_collection,3.854703929578105,2.0595683095735815,1.7951356200045232,0.5343,0.46569999999999995,0.5343
2030,Lithuania,high_collection,14.22340987342152,12.516600688610938,1.7068091848105824,0.88,0.12,0.88
2030,Slovenia,high_collection,13.091640506884245,11.520643646058135,1.5709968608261091,0.88,0.11999999999999998,0.88
2030,Luxembourg,high_collection,12.900955465122896,11.352840809308148,1.5481146558147467,0.88,0.11999999999999994,0.8799999999999999
2030,Honduras,high_collection,3.2105772113793876,1.7154114040400068,1.4951658073393808,0.5343,0.4657,0.5343
2030,Rep. of Moldova,high_collection,2.9266018875624855,1.563683388524636,1.3629184990378496,0.5343,0.4657,0.5343
2030,French Polynesia,high_collection,2.918379851261482,1.55929035452901,1.3590894967324723,0.5343,0.4657,0.5343
2030,Nepal,high_collection,2.8848454347976804,1.5413729158124005,1.3434725189852796,0.5343,0.46569999999999995,0.5343
2030,Togo,high_collection,2.629062815835863,1.4047082625011016,1.224354553334761,0.5343,0.46569999999999984,0.5343
2030,Uruguay,high_collection,2.542828681450484,1.3586333644989936,1.1841953169514903,0.5343,0.46569999999999995,0.5343
2030,Serbia,high_collection,5.893069487846227,4.70915182773792,1.1839176601083068,0.7991,0.20089999999999997,0.7991
2030,Madagascar,high_collection,2.4805935830275847,1.3253811514116383,1.155212431615946,0.5343,0.46569999999999995,0.5342999999999999
2030,C?te d'Ivoire,high_collection,2.303065670319881,1.2305279876519124,1.0725376826679685,0.5343,0.46569999999999995,0.5343
2030,Iran,high_collection,2.292647939482063,1.224961794065266,1.0676861454167965,0.5343,0.46569999999999995,0.5342999999999999
2030,South Africa,high_collection,2.2711020437440403,1.2134498219724408,1.0576522217715996,0.5343,0.4657,0.5343
2030,Mongolia,high_collection,2.263236683686411,1.2092473600936495,1.0539893235927615,0.5343,0.46569999999999995,0.5343
2030,Niger,high_collection,2.259735163657819,1.2073764979423725,1.052358665715446,0.5343,0.4656999999999999,0.5342999999999999
2030,Latvia,high_collection,8.550473914963419,7.524417045167808,1.02605686979561,0.88,0.11999999999999997,0.8799999999999999
2030,Burundi,high_collection,2.152448996359974,1.150053498755134,1.00239549760484,0.5343,0.46569999999999995,0.5342999999999999
2030,Zimbabwe,high_collection,1.998953789238033,1.068041009589881,0.9309127796481518,0.5343,0.46569999999999995,0.5343
2030,Estonia,high_collection,7.4958929473144105,6.596385793636681,0.8995071536777292,0.88,0.11999999999999998,0.88
2030,Barbados,high_collection,1.912840466002738,1.0220306609852627,0.890809805017475,0.5343,0.46569999999999995,0.5342999999999999
2030,Qatar,high_collection,1.793613852081704,0.9583278811672543,0.8352859709144493,0.5343,0.4656999999999999,0.5342999999999999
2030,Panama,high_collection,1.7745402709315712,0.9481368667587384,0.8264034041728329,0.5343,0.4657000000000001,0.5343
2030,North Macedonia,high_collection,1.72519433886909,0.9217713352577546,0.803423003611335,0.5343,0.4656999999999999,0.5342999999999999
2030,El Salvador,high_collection,1.7151263483962667,0.916392007948125,0.7987343404481413,0.5343,0.46569999999999995,0.5342999999999999
2030,Tunisia,high_collection,1.714813886967134,0.9162250598065398,0.7985888271605944,0.5343,0.46570000000000006,0.5343
