policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
critical_route_policy,AND,RUS,0.13760561853706169,0.0,-0.13760561853706169
critical_route_policy,ARG,CHN,0.0,110.65534517566579,110.65534517566579
critical_route_policy,ARG,RUS,110.65534517566579,0.0,-110.65534517566579
critical_route_policy,BLR,CHN,0.0,230.10971895498287,230.10971895498287
critical_route_policy,BLR,RUS,230.10971895498287,0.0,-230.10971895498287
critical_route_policy,BRA,CHN,15921.842640655399,0.0,-15921.842640655399
critical_route_policy,BRA,KOR,0.0,8028.020581980931,8028.020581980931
critical_route_policy,BRA,RUS,0.0,10085.07552841427,10085.07552841427
critical_route_policy,CPV,CHN,0.0,0.6809967690292931,0.6809967690292931
critical_route_policy,CPV,RUS,0.6809967690292931,0.0,-0.6809967690292931
critical_route_policy,CZE,KOR,3346.077641006782,3390.633618218767,44.55597721198501
critical_route_policy,DZA,CHN,0.0,22.627860719780358,22.627860719780358
critical_route_policy,DZA,RUS,22.627860719780358,0.0,-22.627860719780358
critical_route_policy,EGY,CHN,1189.2085302795513,0.0,-1189.2085302795513
critical_route_policy,EGY,KOR,0.0,1189.2085302795513,1189.2085302795513
critical_route_policy,HRV,CHN,0.0,996.3797320536017,996.3797320536017
critical_route_policy,HRV,RUS,996.3797320536017,0.0,-996.3797320536017
critical_route_policy,IDN,CHN,0.0,1249.4365009652201,1249.4365009652201
critical_route_policy,IDN,THA,1249.4365009652201,0.0,-1249.4365009652201
critical_route_policy,IND,CHN,4878.040745672864,0.0,-4878.040745672864
critical_route_policy,IND,KOR,0.0,3484.3148183377502,3484.3148183377502
critical_route_policy,KEN,CHN,2707.360683263574,0.0,-2707.360683263574
critical_route_policy,KEN,THA,0.0,2707.360683263574,2707.360683263574
critical_route_policy,KHM,CHN,0.0,125.49569397167991,125.49569397167991
critical_route_policy,KHM,THA,125.49569397167991,0.0,-125.49569397167991
critical_route_policy,LKA,CHN,0.0,4916.350061110648,4916.350061110648
critical_route_policy,LKA,THA,4916.350061110648,0.0,-4916.350061110648
critical_route_policy,LSO,CHN,0.0,27.080230800853766,27.080230800853766
critical_route_policy,LSO,THA,27.080230800853766,0.0,-27.080230800853766
critical_route_policy,LTU,CHN,0.0,148.91982770918597,148.91982770918597
critical_route_policy,LTU,RUS,148.91982770918597,0.0,-148.91982770918597
critical_route_policy,MAR,CHN,0.0,223.72340741783322,223.72340741783322
critical_route_policy,MAR,RUS,223.72340741783322,0.0,-223.72340741783322
critical_route_policy,MDG,CHN,0.0,61.01744832128447,61.01744832128447
critical_route_policy,MDG,THA,61.01744832128447,0.0,-61.01744832128447
critical_route_policy,MDV,CHN,0.0,7.981563407373702,7.981563407373702
critical_route_policy,MDV,THA,7.981563407373702,0.0,-7.981563407373702
critical_route_policy,MEX,CHN,6543.139160799264,0.0,-6543.139160799264
critical_route_policy,MEX,KOR,0.0,6543.139160799264,6543.139160799264
critical_route_policy,MMR,CHN,784.7880339843952,786.3343171986432,1.546283214248092
critical_route_policy,MMR,THA,1.5462832142481946,0.0,-1.5462832142481946
critical_route_policy,MOZ,CHN,0.0,0.0237342501900001,0.0237342501900001
critical_route_policy,MOZ,THA,0.0237342501900001,0.0,-0.0237342501900001
critical_route_policy,MRT,CHN,0.0,0.0035946132149260717,0.0035946132149260717
critical_route_policy,MRT,RUS,0.0035946132149260717,0.0,-0.0035946132149260717
critical_route_policy,MUS,CHN,0.0,54.3439459204864,54.3439459204864
critical_route_policy,MUS,THA,54.3439459204864,0.0,-54.3439459204864
critical_route_policy,MYS,CHN,0.0,0.9975312112990361,0.9975312112990361
critical_route_policy,MYS,THA,0.9975312112990361,0.0,-0.9975312112990361
critical_route_policy,NGA,CHN,11394.803046410421,0.0,-11394.803046410421
critical_route_policy,NGA,KOR,0.0,11394.803046410421,11394.803046410421
critical_route_policy,PAK,CHN,11723.737771025111,0.0,-11723.737771025111
critical_route_policy,PAK,KOR,0.0,11723.737771025111,11723.737771025111
critical_route_policy,PHL,CHN,24207.511280805826,0.0,-24207.511280805826
critical_route_policy,PHL,KOR,0.0,24207.511280805826,24207.511280805826
critical_route_policy,ROM,CHN,6148.96405290295,6148.389053167981,-0.574999734969424
critical_route_policy,SEN,CHN,0.0,1590.4169529798626,1590.4169529798626
critical_route_policy,SEN,RUS,1590.4169529798626,0.0,-1590.4169529798626
critical_route_policy,SVK,KOR,302.24914037459007,29.713520229216826,-272.53562014537323
critical_route_policy,SVN,CHN,0.0,126.13388884571248,126.13388884571248
