,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
144,Belgium,LFP,6.510830101648675,2023,Strategy 2,Direct,2.252335332,14.66457267859246
145,Belgium,NMC111,488.47985945987506,2023,Strategy 2,Direct,2.5573470780000003,1249.2125412515622
146,Belgium,NMC622,146.7014665525706,2023,Strategy 2,Direct,2.478807863,363.6447488041435
147,Belgium,NMC811,46.34652010844001,2023,Strategy 2,Direct,2.397518212,111.11662602280914
148,Belgium,NMC523,383.7429299203142,2023,Strategy 2,Direct,2.496014242,957.8278183479123
149,Belgium,NCA,603.7566892892808,2023,Strategy 2,Direct,2.452491446,1480.7081159472407
150,Finland,LFP,1.6304813980311421,2023,Strategy 2,Direct,2.252335332,3.6723908609542963
151,Finland,NMC111,148.27710158676558,2023,Strategy 2,Direct,2.5573470780000003,379.19601247722414
152,Finland,NMC622,54.00554971795156,2023,Strategy 2,Direct,2.478807863,133.86938128649575
153,Finland,NMC811,18.185576498945398,2023,Strategy 2,Direct,2.397518212,43.60025085194079
154,Finland,NMC523,133.29143619002528,2023,Strategy 2,Direct,2.496014242,332.6973230669374
155,Finland,NCA,191.19824214559398,2023,Strategy 2,Direct,2.452491446,468.91205335230586
156,Switzerland,LFP,0.6092355996996099,2023,Strategy 2,Direct,2.252335332,1.37220286671564
157,Switzerland,NMC111,211.85973449341603,2023,Strategy 2,Direct,2.5573470780000003,541.7988729525933
158,Switzerland,NMC622,55.45067657893915,2023,Strategy 2,Direct,2.478807863,137.4515731125443
159,Switzerland,NMC811,23.12911873031292,2023,Strategy 2,Direct,2.397518212,55.45248338343555
160,Switzerland,NMC523,144.6889801148194,2023,Strategy 2,Direct,2.496014242,361.14575502704406
161,Switzerland,NCA,427.6442908322617,2023,Strategy 2,Direct,2.452491446,1048.793965196858
162,Romania,LFP,0.21001907051125548,2023,Strategy 2,Direct,2.252335332,0.4730333729063
163,Romania,NMC111,4.329400859148668,2023,Strategy 2,Direct,2.5573470780000003,11.071780636634537
