,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
35,NIC,BEL,28.0,9021.177,4294.080252000001,2023,Strategy 3
36,PAN,BEL,36.0,8814.414,5394.421368000001,2023,Strategy 3
37,PER,BEL,241.0,10464.8,42874.2856,2023,Strategy 3
38,PRT,BEL,741.0,1711.396,21558.455412000003,2023,Strategy 3
39,PRY,BEL,27.0,10416.98,4781.393819999999,2023,Strategy 3
40,SEN,BEL,9.0,4479.534000000001,685.3687020000001,2023,Strategy 3
41,SLE,BEL,1.0,4983.31,84.71627000000001,2023,Strategy 3
42,SLV,BEL,37.0,9085.503,5714.781387000001,2023,Strategy 3
43,TGO,BEL,15.0,4979.165,1269.6870750000003,2023,Strategy 3
44,TTO,BEL,7.0,7414.548000000001,882.3312120000002,2023,Strategy 3
45,TUN,BEL,13.0,1626.5120000000002,359.4591520000001,2023,Strategy 3
46,URY,BEL,21.0,11228.75,4008.66375,2023,Strategy 3
47,ALB,DEU,1.0,1336.744,22.724648,2023,Strategy 3
48,ARE,DEU,1220.0,4641.608,96266.94992,2023,Strategy 3
49,ARM,DEU,11.0,2724.171,509.419977,2023,Strategy 3
50,AUT,DEU,1007.0,523.9359,8969.2586721,2023,Strategy 3
51,AZE,DEU,30.0,3063.72,1562.4972,2023,Strategy 3
52,BDI,DEU,20.0,6398.854,2175.61036,2023,Strategy 3
53,BGR,DEU,4.0,1322.494,89.929592,2023,Strategy 3
54,BHR,DEU,15.0,4259.616,1086.20208,2023,Strategy 3
55,BIH,DEU,10.0,1033.222,175.64774,2023,Strategy 3
56,BLR,DEU,82.0,948.8527,1322.7006638000003,2023,Strategy 3
57,CYP,DEU,1.0,2493.3360000000002,42.38671200000001,2023,Strategy 3
58,DNK,DEU,807.0,352.9857,4842.610818300001,2023,Strategy 3
59,EGY,DEU,76.0,2895.2290000000003,3740.6358680000003,2023,Strategy 3
60,EST,DEU,2.0,1038.978,35.325252000000006,2023,Strategy 3
61,ETH,DEU,60.0,5356.892,5464.029840000001,2023,Strategy 3
62,GEO,DEU,5.0,2636.6,224.11100000000002,2023,Strategy 3
63,GRC,DEU,66.0,1803.951,2024.0330220000003,2023,Strategy 3
64,HRV,DEU,3.0,771.8766,39.3657066,2023,Strategy 3
65,IRN,DEU,381.0,3512.118,22747.988286,2023,Strategy 3
66,ISR,DEU,201.0,2852.534,9747.108678,2023,Strategy 3
67,JOR,DEU,75.0,2922.3959999999997,3726.0549,2023,Strategy 3
68,KAZ,DEU,320.0,3884.671,21132.61024,2023,Strategy 3
69,KEN,DEU,75.0,6377.0740000000005,8130.769350000001,2023,Strategy 3
70,KWT,DEU,73.0,3825.0690000000004,4746.910629000001,2023,Strategy 3
71,LBN,DEU,10.0,2720.929,462.55793000000006,2023,Strategy 3
72,LTU,DEU,3.0,820.2604,41.8332804,2023,Strategy 3
73,LVA,DEU,2.0,842.7612,28.653880800000003,2023,Strategy 3
74,MDA,DEU,12.0,1264.197,257.896188,2023,Strategy 3
75,MDG,DEU,7.0,8601.846,1023.619674,2023,Strategy 3
76,MKD,DEU,18.0,1318.674,403.514244,2023,Strategy 3
77,MOZ,DEU,3.0,8933.64,455.61564,2023,Strategy 3
78,MUS,DEU,16.0,9143.453000000001,2487.0192160000006,2023,Strategy 3
79,MWI,DEU,48.0,7656.65,6247.8264,2023,Strategy 3
80,OMN,DEU,26.0,4976.974,2199.822508,2023,Strategy 3
81,PAL,DEU,2.0,2890.074,98.262516,2023,Strategy 3
82,QAT,DEU,51.0,4398.253,3813.285351,2023,Strategy 3
83,RWA,DEU,33.0,6259.643,3511.6597230000007,2023,Strategy 3
84,SAU,DEU,428.0,4178.845,30405.276220000003,2023,Strategy 3
85,SDN,DEU,2.0,4447.473,151.21408200000002,2023,Strategy 3
86,SVN,DEU,3.0,723.9545,36.92167950000001,2023,Strategy 3
87,TJK,DEU,2.0,4460.934,151.67175600000002,2023,Strategy 3
88,TZA,DEU,64.0,6866.7080000000005,7470.978304000001,2023,Strategy 3
89,UGA,DEU,115.0,6077.621,11881.749055000002,2023,Strategy 3
90,UKR,DEU,495.0,1204.434,10135.31211,2023,Strategy 3
91,UZB,DEU,15.0,4306.54,1098.1677,2023,Strategy 3
92,YEM,DEU,12.0,4942.02,1008.1720800000002,2023,Strategy 3
93,ZAF,DEU,17.0,8828.848,2551.537072,2023,Strategy 3
94,ZMB,DEU,28.0,7702.419,3666.351444,2023,Strategy 3
95,ZWE,DEU,35.0,8015.01,4768.930950000001,2023,Strategy 3
96,SWZ,DEU,1.0,8945.386,152.07156200000003,2023,Strategy 3
97,BGD,KOR,1.0,3800.079,64.60134300000001,2023,Strategy 3
98,BRN,KOR,2.0,3825.485,130.06649000000002,2023,Strategy 3
99,FJI,KOR,15.0,8202.271,2091.5791050000003,2023,Strategy 3
100,IDN,KOR,2511.0,5291.684,225886.11490800002,2023,Strategy 3
101,KGZ,KOR,19.0,4422.647,1428.5149810000003,2023,Strategy 3
102,KHM,KOR,26.0,3628.8070000000002,1603.932694,2023,Strategy 3
103,LAO,KOR,6.0,3218.349,328.27159800000004,2023,Strategy 3
104,LKA,KOR,9.0,5840.513000000001,893.5984890000002,2023,Strategy 3
105,MDV,KOR,6.0,6570.516,670.192632,2023,Strategy 3
106,MNG,KOR,11.0,2003.1029999999998,374.580261,2023,Strategy 3
107,MYS,KOR,15.0,4614.067,1176.5870850000001,2023,Strategy 3
108,NPL,KOR,30.0,4022.39,2051.4189,2023,Strategy 3
109,NZL,KOR,257.0,10293.84,44973.786960000005,2023,Strategy 3
110,PAK,KOR,99.0,4828.073,8125.646859,2023,Strategy 3
111,PHL,KOR,423.0,2615.751,18809.865441000005,2023,Strategy 3
112,PYF,KOR,14.0,10635.72,2531.30136,2023,Strategy 3
113,MMR,KOR,45.0,3796.143,2904.049395,2023,Strategy 3
114,BRA,BEL,90.00000000000001,8984.677,13746.555810000002,2023,Strategy 3
115,CZE,DEU,30.0,279.8608,142.729008,2023,Strategy 3
116,ROM,DEU,10.0,1298.0710000000001,220.67207000000002,2023,Strategy 3
117,YUG,DEU,50.0,1001.548,851.3158000000001,2023,Strategy 3
118,SVK,KOR,30.0,8246.657,4205.79507,2023,Strategy 3
119,TUR,DEU,1790.0000000000014,2038.6860000000001,62037.21498000006,2023,Strategy 3
120,VNM,KOR,4570.000000000004,2740.135,212881.0881500002,2023,Strategy 3
0,FJI,AUS,22.0,3460.5690000000004,1294.2528060000002,2024,Strategy 2
1,NZL,AUS,442.0,2397.488,18014.724832,2024,Strategy 2
2,PYF,AUS,21.0,6319.975,2256.231075,2024,Strategy 2
3,LUX,BEL,11.0,187.8091,35.1203017,2024,Strategy 2
4,ARG,BRA,620.0,2353.257,24803.328780000003,2024,Strategy 2
5,BOL,BRA,116.0,1876.6889999999999,3700.830708,2024,Strategy 2
6,CHL,BRA,17.0,3017.946,872.186394,2024,Strategy 2
7,COL,BRA,367.0,3756.413,23436.260707,2024,Strategy 2
8,ECU,BRA,65.0,3779.018,4175.814890000001,2024,Strategy 2
9,GUY,BRA,6.0,2752.313,280.735926,2024,Strategy 2
10,NAM,BRA,22.0,6825.919,2552.8937060000003,2024,Strategy 2
11,PER,BRA,328.0,3171.635,17685.036760000003,2024,Strategy 2
12,PRY,BRA,40.0,1463.434,995.13512,2024,Strategy 2
13,TTO,BRA,13.0,3300.022,729.3048620000001,2024,Strategy 2
14,URY,BRA,29.0,2283.672,1125.850296,2024,Strategy 2
15,EST,FIN,4.0,80.98481,5.50696708,2024,Strategy 2
16,LVA,FIN,5.0,358.1294,30.440999,2024,Strategy 2
17,DNK,DEU,1766.0,352.9857,10597.336685400001,2024,Strategy 2
18,AUT,HUN,973.0,215.6626,3567.2750666000006,2024,Strategy 2
19,HRV,HUN,9.0,302.1079,46.2225087,2024,Strategy 2
20,SVN,HUN,8.0,381.6249,51.90098640000001,2024,Strategy 2
21,ARE,IND,1467.0,2312.871,57680.68986900001,2024,Strategy 2
22,BGD,IND,1.0,1421.9379999999999,24.172946,2024,Strategy 2
23,KGZ,IND,20.0,1606.963,546.36742,2024,Strategy 2
24,MDG,IND,12.0,6175.918000000001,1259.8872720000002,2024,Strategy 2
25,MDV,IND,9.0,2750.0040000000004,420.7506120000001,2024,Strategy 2
26,MUS,IND,26.0,5828.435,2576.16827,2024,Strategy 2
27,NPL,IND,38.0,801.1843,517.5650578000001,2024,Strategy 2
28,OMN,IND,37.0,1936.2220000000002,1217.8836380000002,2024,Strategy 2
29,PAK,IND,199.0,683.3699,2311.8403717000006,2024,Strategy 2
30,SYC,IND,1.0,4372.486,74.332262,2024,Strategy 2
31,TJK,IND,3.0,1356.5479999999998,69.18394799999999,2024,Strategy 2
32,UZB,IND,27.0,1584.1029999999998,727.1032769999999,2024,Strategy 2
33,AGO,ITA,35.0,5645.243,3358.919585,2024,Strategy 2
34,CMR,ITA,8.0,4234.210999999999,575.8526959999999,2024,Strategy 2
35,COG,ITA,18.0,5140.217000000001,1572.9064020000003,2024,Strategy 2
36,MLT,ITA,2.0,688.7803,23.418530200000003,2024,Strategy 2
37,TUN,ITA,17.0,595.3532,172.0570748,2024,Strategy 2
38,MNG,KOR,16.0,2003.1029999999998,544.844016,2024,Strategy 2
39,ISL,NOR,297.0,1749.596,8833.710204,2024,Strategy 2
40,BLR,POL,125.0,469.7038,998.120575,2024,Strategy 2
41,LTU,POL,8.0,393.7521,53.5502856,2024,Strategy 2
42,UKR,POL,662.0,690.8161,7774.444389400001,2024,Strategy 2
43,BGR,ROM,11.0,299.2593,55.9614891,2024,Strategy 2
44,GRC,ROM,276.0,741.4337,3478.8069204000003,2024,Strategy 2
45,MDA,ROM,17.0,356.6724,103.0783236,2024,Strategy 2
46,KAZ,RUS,348.0,2270.788,13433.981808000002,2024,Strategy 2
47,ALB,YUG,2.0,393.4831,13.378425400000001,2024,Strategy 2
48,BIH,YUG,14.0,196.5349,46.775306199999996,2024,Strategy 2
49,MKD,YUG,22.0,324.8798,121.50504520000001,2024,Strategy 2
