,country,type,scrap_sum,year,Strategy type
229,Slovakia,NMC111,9.998370575050227,2023,Strategy 3
230,Slovakia,NMC622,3.8351376232863075,2023,Strategy 3
231,Slovakia,NMC811,1.4023424002149287,2023,Strategy 3
232,Slovakia,NMC523,9.159649184727083,2023,Strategy 3
233,Slovakia,NCA,13.548869890896187,2023,Strategy 3
234,Spain,LFP,10.826955053572878,2023,Strategy 3
235,Spain,NMC111,383.19773385974963,2023,Strategy 3
236,Spain,NMC622,134.1568494241995,2023,Strategy 3
237,Spain,NMC811,45.83749172359635,2023,Strategy 3
238,Spain,NMC523,331.8741375457232,2023,Strategy 3
239,Spain,NCA,493.27793144006574,2023,Strategy 3
240,Sweden,LFP,7.760562923606021,2023,Strategy 3
241,Sweden,NMC111,904.5428374098277,2023,Strategy 3
242,Sweden,NMC622,290.1082675524963,2023,Strategy 3
243,Sweden,NMC811,93.33611014241305,2023,Strategy 3
244,Sweden,NMC523,734.1833800204485,2023,Strategy 3
245,Sweden,NCA,1127.1993396197854,2023,Strategy 3
246,United Kingdom,LFP,3.8806601896734723,2023,Strategy 3
247,United Kingdom,NMC111,1220.1888938739614,2023,Strategy 3
248,United Kingdom,NMC622,305.6132470587095,2023,Strategy 3
249,United Kingdom,NMC811,125.6996021601504,2023,Strategy 3
250,United Kingdom,NMC523,812.3556188032019,2023,Strategy 3
251,United Kingdom,NCA,2370.138640149451,2023,Strategy 3
252,Norway,LFP,0.1428908903500856,2023,Strategy 3
253,Norway,NMC111,1286.2061790245186,2023,Strategy 3
254,Norway,NMC622,262.83088980241456,2023,Strategy 3
255,Norway,NMC811,74.5026014850135,2023,Strategy 3
256,Norway,NMC523,767.3790115375862,2023,Strategy 3
257,Norway,NCA,2160.663870072808,2023,Strategy 3
258,Russian Federation,LFP,0.20513004660703463,2023,Strategy 3
259,Russian Federation,NMC111,375.6087518856816,2023,Strategy 3
260,Russian Federation,NMC622,68.5264323459787,2023,Strategy 3
261,Russian Federation,NMC811,14.409423188691186,2023,Strategy 3
262,Russian Federation,NMC523,208.66502797671168,2023,Strategy 3
263,Russian Federation,NCA,599.1340571622897,2023,Strategy 3
264,Serbia,LFP,0.007413689333023927,2023,Strategy 3
265,Serbia,NMC111,16.765545349481396,2023,Strategy 3
266,Serbia,NMC622,2.656190337144038,2023,Strategy 3
267,Serbia,NMC811,0.5055875309878543,2023,Strategy 3
268,Serbia,NMC523,7.7051284813585745,2023,Strategy 3
269,Serbia,NCA,26.566859935496048,2023,Strategy 3
270,Turkey,LFP,0.34976318270456824,2023,Strategy 3
271,Turkey,NMC111,520.1434446678104,2023,Strategy 3
272,Turkey,NMC622,96.34370161870154,2023,Strategy 3
273,Turkey,NMC811,25.561555986754293,2023,Strategy 3
274,Turkey,NMC523,282.68988972657735,2023,Strategy 3
275,Turkey,NCA,871.7200772957652,2023,Strategy 3
276,USA,LFP,70.838781991733,2023,Strategy 3
277,USA,NMC111,3826.2832205831037,2023,Strategy 3
278,USA,NMC622,840.0079014644235,2023,Strategy 3
279,USA,NMC811,252.585935950384,2023,Strategy 3
280,USA,NMC523,2498.438323089068,2023,Strategy 3
281,USA,NCA,20817.66354004909,2023,Strategy 3
282,Canada,LFP,1.479902374069103,2023,Strategy 3
283,Canada,NMC111,475.87351833346827,2023,Strategy 3
284,Canada,NMC622,129.9374654866231,2023,Strategy 3
285,Canada,NMC811,43.02047123609268,2023,Strategy 3
286,Canada,NMC523,343.0089614010258,2023,Strategy 3
287,Canada,NCA,948.7503487236388,2023,Strategy 3
288,Brazil,LFP,1.4229203475426893,2023,Strategy 3
289,Brazil,NMC111,15.905190283314633,2023,Strategy 3
290,Brazil,NMC622,7.675899848056379,2023,Strategy 3
291,Brazil,NMC811,4.777010401029409,2023,Strategy 3
292,Brazil,NMC523,16.600186517818152,2023,Strategy 3
293,Brazil,NCA,50.4550385578365,2023,Strategy 3
294,Australia,LFP,0.3074850591695931,2023,Strategy 3
295,Australia,NMC111,64.68960957252327,2023,Strategy 3
296,Australia,NMC622,18.41597867148812,2023,Strategy 3
297,Australia,NMC811,6.852600902370068,2023,Strategy 3
298,Australia,NMC523,46.72953051060813,2023,Strategy 3
299,Australia,NCA,139.2256597115855,2023,Strategy 3
300,Czechia,LFP,0.44587484266791455,2023,Strategy 3
301,Czechia,NMC111,9.943073340664807,2023,Strategy 3
