source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
Virtual_Supply,BRA,10000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,CAN,25450.29117123566,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,CHE,25000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,CHN,5849273.006179293,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,CZE,816.4563472691111,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,DEU,126000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,ESP,32000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,FIN,7000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,FRA,34496.31077676265,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,GBR,30963.821452849705,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,HUN,55000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,IND,59611.76681175179,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,ITA,57000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,KOR,110827.90697487272,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,NLD,18000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,NOR,63000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,POL,50000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,ROM,1000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,RUS,32204.47765760807,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,SVK,1000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,SWE,30000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,THA,24746.601566681136,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,TUR,7269.459441361968,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,USA,154328.1508341448,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,YUG,1000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
AUS,JPN,17646.687259594157,2030,open_policy,Direct,Strategy 2,True
