source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
Virtual_Supply,DEU,185000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,FIN,7000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,FRA,89000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,GBR,4259.938502163102,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,HUN,102265.71957268755,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,NLD,28000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,NOR,148000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,ROM,1000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,SWE,135000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,YUG,1000.0,2030,reference_policy,Direct,Strategy 3,True
ABW,CHN,24.819339390129308,2030,current_policy,Direct,Strategy 3,True
AGO,IND,19.88820556117431,2030,current_policy,Direct,Strategy 3,True
ALB,CHN,148.42402354726005,2030,current_policy,Direct,Strategy 3,True
AND,RUS,2.001951646701532,2030,current_policy,Direct,Strategy 3,True
ARE,IND,1190.823874604111,2030,current_policy,Direct,Strategy 3,True
ARG,THA,1353.5255744340511,2030,current_policy,Direct,Strategy 3,True
ARM,IND,7.141582894956569,2030,current_policy,Direct,Strategy 3,True
AUS,JPN,17646.687259594157,2030,current_policy,Direct,Strategy 3,True
AUT,KOR,26486.995063529997,2030,current_policy,Direct,Strategy 3,True
AZE,IND,237.88480877750376,2030,current_policy,Direct,Strategy 3,True
BDI,IND,78.14964393436138,2030,current_policy,Direct,Strategy 3,True
BEL,JPN,37841.79597544731,2030,current_policy,Direct,Strategy 3,True
BEN,IND,214.1448733914073,2030,current_policy,Direct,Strategy 3,True
BFA,IND,208.37547168791065,2030,current_policy,Direct,Strategy 3,True
BGD,THA,1.057355941410688,2030,current_policy,Direct,Strategy 3,True
BGR,CHN,676.8918418869739,2030,current_policy,Direct,Strategy 3,True
BHR,IND,3.9431108908774446,2030,current_policy,Direct,Strategy 3,True
BHS,CHN,0.0080356430415915,2030,current_policy,Direct,Strategy 3,True
BIH,CHN,62.31948442184624,2030,current_policy,Direct,Strategy 3,True
BLR,RUS,737.0331505967692,2030,current_policy,Direct,Strategy 3,True
BMU,CHN,0.9462929709559008,2030,current_policy,Direct,Strategy 3,True
BOL,CHN,541.589465913574,2030,current_policy,Direct,Strategy 3,True
BRA,CHN,242752.9522530881,2030,current_policy,Direct,Strategy 3,True
BRA,IND,189086.6187336621,2030,current_policy,Direct,Strategy 3,True
BRA,RUS,35014.0537512584,2030,current_policy,Direct,Strategy 3,True
BRB,CHN,69.96443951818505,2030,current_policy,Direct,Strategy 3,True
BRN,THA,9.648582455127254,2030,current_policy,Direct,Strategy 3,True
BWA,THA,149.2848677641601,2030,current_policy,Direct,Strategy 3,True
CAN,CAN,80824.34208789561,2030,current_policy,Direct,Strategy 3,False
CHE,KOR,20923.953559190428,2030,current_policy,Direct,Strategy 3,True
CHL,THA,247.74467141147056,2030,current_policy,Direct,Strategy 3,True
CHN,CHN,1815439.5866677614,2030,current_policy,Direct,Strategy 3,False
CIV,IND,83.84733796275725,2030,current_policy,Direct,Strategy 3,True
