year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t,solver_target_constraint_li_t
2030,critical_route_policy,European Union,0.0,0.0,21133.67279898261,71609.35984021364,6502.60773309294,30.768942979972607,7471076.157113247,4553741.048207439,
2030,critical_route_policy,European Union,0.75,15850.254599236958,21133.67279898261,71609.35984021363,15850.254599236956,74.99999999999999,7504973.515437786,4553741.048207439,
2030,critical_route_policy,European Union,0.9,19020.30551908435,21133.67279898261,71609.35984021363,19020.305519084348,89.99999999999999,7580666.440758499,4553741.048207439,
2030,critical_route_policy,European Union,0.95,20076.98915903348,21133.67279898261,71609.35984021364,20076.989159033463,94.99999999999991,7617633.493504454,4553741.048207438,
2030,critical_route_policy,European Union,0.99,20922.336070992784,21133.67279898261,71833.74824518299,20922.336070992773,98.99999999999994,7949290.852594857,4553741.048207438,
2030,critical_route_policy,European Union,1.0,21133.67279898261,21133.67279898261,72045.08497317284,21133.672798982618,100.00000000000004,8313795.21288124,4553741.048207439,
2040,reference_policy,United States,0.0,0.0,97324.57905313226,683402.2233655025,95317.88670152126,97.93814432989689,61923272.83589765,43973946.622175366,
2040,reference_policy,United States,0.75,72993.43428984919,97324.57905313226,683402.2233655027,95317.88670152127,97.9381443298969,61923272.83589764,43973946.62217538,
2040,reference_policy,United States,0.9,87592.12114781904,97324.57905313226,683402.2233655027,95317.88670152127,97.9381443298969,61923272.83589764,43973946.62217538,
2040,reference_policy,United States,0.95,92458.35010047564,97324.57905313226,683402.2233655027,95317.88670152127,97.9381443298969,61923272.83589764,43973946.62217538,
2040,reference_policy,United States,0.99,96351.33326260094,97324.57905313226,684435.6699265824,96351.33326260097,99.00000000000004,63720216.71565597,43973946.62217538,
2040,reference_policy,United States,1.0,97324.57905313226,97324.57905313226,685408.8183925345,97324.4817285532,99.9999,65760085.375896245,43973946.62217538,97324.4817285532
2040,reference_policy,European Union,0.0,0.0,144045.70167250035,683402.2233655025,19738.91250975166,13.70322910060148,61923272.835897654,43973946.622175366,0.0
2040,reference_policy,European Union,0.75,108034.27625437526,144045.70167250035,683402.2233655024,108034.16822009906,74.99992500000003,65088578.221898824,43973946.62217538,108034.168220099
2040,reference_policy,European Union,0.9,129641.13150525032,144045.70167250035,683402.2233655027,129641.00186411897,89.9999100000001,66251363.88751442,43973946.62217538,129641.0018641188
2040,reference_policy,European Union,0.95,136843.41658887532,144045.70167250035,683402.2233655027,136843.2797454588,94.99990500000004,66736593.23896846,43973946.62217538,136843.2797454587
2040,reference_policy,European Union,0.99,142605.24465577534,144045.70167250035,684931.4971351785,142605.1020505305,98.99990099999987,69181521.60212228,43973946.62217538,142605.1020505307
2040,reference_policy,European Union,1.0,144045.70167250035,144045.70167250035,686371.9527114467,144045.55762679852,99.99989999999988,72070698.41346268,43973946.62217538,144045.55762679866
2040,current_policy,United States,0.0,0.0,97324.57905313221,683402.2233655027,95317.88670152126,97.93814432989693,63614351.875352666,43973946.62217538,0.0
2040,current_policy,United States,0.75,72993.43428984916,97324.57905313221,683402.2233655027,95317.88670152129,97.93814432989696,63614351.875352666,43973946.62217538,72993.36129641486
2040,current_policy,United States,0.9,87592.121147819,97324.57905313221,683402.2233655027,95317.88670152129,97.93814432989696,63614351.875352666,43973946.62217538,87592.03355569784
2040,current_policy,United States,0.95,92458.3501004756,97324.57905313221,683402.2233655027,95317.88670152129,97.93814432989696,63614351.875352666,43973946.62217538,92458.25764212549
2040,current_policy,United States,0.99,96351.33326260089,97324.57905313221,684435.5735752489,96351.23691126764,98.99990100000001,65411093.78791682,43973946.62217538,96351.23691126762
2040,current_policy,United States,1.0,97324.57905313221,97324.57905313221,685408.8183925345,97324.48172855316,99.9999,67451164.41535124,43973946.62217538,97324.48172855316
2040,current_policy,European Union,0.0,0.0,144045.70167250035,683402.2233655027,19738.91250975166,13.70322910060148,63614351.875352666,43973946.62217538,0.0
2040,current_policy,European Union,0.75,108034.27625437526,144045.70167250035,683402.2233655027,108034.16822009906,74.99992500000003,66218781.326160505,43973946.62217538,108034.168220099
