year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,strict_policy,United States,0.95,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,0.99,global,Direct,3783.577910903728,5.277886213748947
2030,strict_policy,United States,0.99,global,Hydro,67903.79384499864,94.72211378625106
2030,strict_policy,United States,0.99,global,Pyro,0.0,0.0
2030,strict_policy,United States,0.99,target_region,Direct,3783.577910903728,52.0202020202037
2030,strict_policy,United States,0.99,target_region,Hydro,3489.707781901263,47.97979797979632
2030,strict_policy,United States,0.99,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,1.0,global,Direct,7346.753225055651,10.237830685835531
2030,strict_policy,United States,1.0,global,Hydro,64414.08606309738,89.76216931416447
2030,strict_policy,United States,1.0,global,Pyro,0.0,0.0
2030,strict_policy,United States,1.0,target_region,Direct,7346.753225055651,100.0
2030,strict_policy,United States,1.0,target_region,Hydro,0.0,0.0
2030,strict_policy,United States,1.0,target_region,Pyro,0.0,0.0
2030,strict_policy,European Union,0.0,global,Direct,0.0,0.0
2030,strict_policy,European Union,0.0,global,Hydro,71609.35984021364,100.00000000000004
2030,strict_policy,European Union,0.0,global,Pyro,0.0,0.0
2030,strict_policy,European Union,0.0,target_region,Direct,0.0,0.0
2030,strict_policy,European Union,0.0,target_region,Hydro,8328.874608235572,100.0
2030,strict_policy,European Union,0.0,target_region,Pyro,0.0,0.0
2030,strict_policy,European Union,0.75,global,Direct,0.0,0.0
2030,strict_policy,European Union,0.75,global,Hydro,71609.35984021363,100.0
2030,strict_policy,European Union,0.75,global,Pyro,0.0,0.0
2030,strict_policy,European Union,0.75,target_region,Direct,0.0,0.0
2030,strict_policy,European Union,0.75,target_region,Hydro,15850.254599236958,100.0
2030,strict_policy,European Union,0.75,target_region,Pyro,0.0,0.0
2030,strict_policy,European Union,0.9,global,Direct,0.0,0.0
2030,strict_policy,European Union,0.9,global,Hydro,71609.35984021363,100.0
2030,strict_policy,European Union,0.9,global,Pyro,0.0,0.0
2030,strict_policy,European Union,0.9,target_region,Direct,0.0,0.0
2030,strict_policy,European Union,0.9,target_region,Hydro,19020.30551908434,100.0
2030,strict_policy,European Union,0.9,target_region,Pyro,0.0,0.0
2030,strict_policy,European Union,0.95,global,Direct,0.0,0.0
2030,strict_policy,European Union,0.95,global,Hydro,71609.35984021363,100.0
2030,strict_policy,European Union,0.95,global,Pyro,0.0,0.0
2030,strict_policy,European Union,0.95,target_region,Direct,0.0,0.0
2030,strict_policy,European Union,0.95,target_region,Hydro,20076.98915903346,100.0
