,country,type,recycling_m,scrap_sum,unit_cost,net_profit
176,Poland,NMC523,Pyro,302.6028672945005,37.9285349928365,-33.75093886887779
177,Poland,NCA,Direct,599.2579127684108,14.54404919823998,-4.016928408195034
178,Poland,NCA,Hydro,599.2579127684108,19.028495899311885,-10.602291632717769
179,Poland,NCA,Pyro,599.2579127684108,25.04753139233236,-20.036483771897082
180,Slovakia,LFP,Direct,23.79493037854855,63.549628345765235,-60.4041880718996
181,Slovakia,LFP,Hydro,23.79493037854855,158.70485958340225,-157.18227454530484
182,Slovakia,LFP,Pyro,23.79493037854855,177.21641597133407,-176.53367161227933
183,Slovakia,NMC111,Direct,245.628030188742,21.867044307685212,-16.688994622130544
184,Slovakia,NMC111,Hydro,245.628030188742,34.200999874117095,-26.250233299237237
185,Slovakia,NMC111,Pyro,245.628030188742,43.02079973028742,-38.57703629776776
186,Slovakia,NMC622,Direct,102.29050353214437,32.63319546810469,-24.204082778817348
187,Slovakia,NMC622,Hydro,102.29050353214437,60.83774949530008,-53.01380591758163
188,Slovakia,NMC622,Pyro,102.29050353214437,73.18158408270854,-68.70991663442453
189,Slovakia,NMC811,Direct,43.3389570068381,48.31789329373663,-38.14708458919291
190,Slovakia,NMC811,Hydro,43.3389570068381,107.00048095637392,-99.38001760603932
191,Slovakia,NMC811,Pyro,43.3389570068381,123.19279931799299,-118.76809047479149
192,Slovakia,NMC523,Direct,236.82970325537124,22.234638273295314,-22.278624986283944
193,Slovakia,NMC523,Hydro,236.82970325537124,35.0311567740705,-27.658372764442806
194,Slovakia,NMC523,Pyro,236.82970325537124,43.98310387450057,-39.89343171998849
195,Slovakia,NCA,Direct,347.9363370591134,18.649999062291844,-8.25525287146091
196,Slovakia,NCA,Hydro,347.9363370591134,27.20276710573734,-18.896509325805752
197,Slovakia,NCA,Pyro,347.9363370591134,34.83119933370394,-29.913294636239932
198,Spain,LFP,Direct,137.0678792690828,28.466128999146974,-25.25866179852795
199,Spain,LFP,Hydro,137.0678792690828,49.69821405878603,-48.17913061718532
200,Spain,LFP,Pyro,137.0678792690828,60.96215742460063,-60.250758265462714
201,Spain,NMC111,Direct,1239.6704548845728,10.463555729707306,-5.209699282402912
202,Spain,NMC111,Hydro,1239.6704548845728,11.8499278392218,-3.829816607026104
203,Spain,NMC111,Pyro,1239.6704548845728,16.162424121446048,-11.682846930201997
204,Spain,NMC622,Direct,522.8095455927524,15.491429975413885,-6.990058772723436
205,Spain,NMC622,Hydro,522.8095455927524,20.78870170366634,-12.898861780156944
206,Spain,NMC622,Pyro,522.8095455927524,27.199134042620102,-22.687952147634437
207,Spain,NMC811,Direct,220.03945633806762,22.95639862249747,-12.717003912224124
208,Spain,NMC811,Hydro,220.03945633806762,36.51842740545707,-28.835524366235603
209,Spain,NMC811,Pyro,220.03945633806762,45.82835739809285,-41.36058676358474
210,Spain,NMC523,Direct,1200.5734694542396,10.617065326252122,-10.588016175238481
211,Spain,NMC523,Hydro,1200.5734694542396,12.099750331784394,-4.660170151876129
212,Spain,NMC523,Pyro,1200.5734694542396,16.47770616469829,-12.34976604427911
213,Spain,NCA,Direct,1947.2526371312513,8.522144902803367,1.9436708771065807
214,Spain,NCA,Hydro,1947.2526371312513,8.831580817182175,-0.46342457278297344
215,Spain,NCA,Pyro,1947.2526371312513,12.310529722259504,-7.35050581656038
216,Sweden,LFP,Direct,51.42368720918581,43.95396257940627,-40.978316304109136
217,Sweden,LFP,Hydro,51.42368720918581,91.01926665738327,-89.55597315112041
218,Sweden,LFP,Pyro,51.42368720918581,108.1044580825026,-107.5352314298872
219,Sweden,NMC111,Direct,1415.8907230393777,9.914228909725175,-4.929210519762639
220,Sweden,NMC111,Hydro,1415.8907230393777,10.987347450313132,-3.21871495489998
221,Sweden,NMC111,Pyro,1415.8907230393777,15.019063837129385,-10.700890450693885
222,Sweden,NMC622,Direct,593.5028863225164,14.65099515655757,-6.408930258650178
223,Sweden,NMC622,Hydro,593.5028863225164,19.12945678422353,-11.48183230784212
224,Sweden,NMC622,Pyro,593.5028863225164,25.202573604953166,-20.862736769911223
225,Sweden,NMC811,Direct,244.10228360822575,21.836260836928307,-11.846306877791687
226,Sweden,NMC811,Hydro,244.10228360822575,33.710864481198556,-26.260891181039582
227,Sweden,NMC811,Pyro,244.10228360822575,42.77154166982013,-38.484645420069654
228,Sweden,NMC523,Direct,1373.2495204231766,10.051340663912013,-10.283686034975949
