Recycling_capacity,country,Direct,Hydro,Pyro
40012.1,Spain,2.58908096,1.782576,2.5846668800000008
50000.0,Spain,2.38908096,1.6825759999999998,2.3846668800000006
968.5,Finland,12.0385024,14.161439999999999,19.0540672
4963.7,Finland,4.838502399999999,4.26144,6.254067200000001
7869.3,Finland,4.2385024,3.26144,4.954067200000001
9987.9,Finland,3.8385024,2.9614399999999996,4.454067200000001
14951.6,Finland,3.4385024,2.4614399999999996,3.7540672000000006
20036.3,Finland,3.2385024000000002,2.26144,3.3540672000000002
30024.2,Finland,2.9385024,1.9614399999999996,2.9540672000000003
40012.1,Finland,2.6385024,1.8614399999999998,2.6540672000000005
50000.0,Finland,2.4385024,1.7614399999999997,2.4540672000000003
968.5,France,12.0476768,14.176079999999999,19.0669504
4963.7,France,4.8476767999999995,4.27608,6.266950400000001
7869.3,France,4.2476768,3.27608,4.966950400000001
9987.9,France,3.8476767999999995,2.9760799999999996,4.466950400000001
14951.6,France,3.4476767999999995,2.4760799999999996,3.7669504000000007
20036.3,France,3.2476768,2.27608,3.3669504000000003
30024.2,France,2.9476767999999995,1.9760799999999996,2.9669504000000004
40012.1,France,2.6476767999999997,1.8760799999999997,2.6669504000000006
50000.0,France,2.4476767999999995,1.7760799999999997,2.4669504000000004
968.5,Hungary,11.95569216,14.029295999999999,18.93778048
4963.7,Hungary,4.75569216,4.129296,6.137780480000001
7869.3,Hungary,4.15569216,3.129296,4.837780480000001
9987.9,Hungary,3.7556921599999997,2.829296,4.337780480000001
14951.6,Hungary,3.35569216,2.329296,3.637780480000001
20036.3,Hungary,3.15569216,2.129296,3.2377804800000005
30024.2,Hungary,2.85569216,1.8292959999999998,2.8377804800000006
40012.1,Hungary,2.55569216,1.729296,2.537780480000001
50000.0,Hungary,2.35569216,1.6292959999999999,2.3377804800000006
968.5,India,10.33397184,12.697104,16.91681152
4963.7,India,3.13397184,2.797104,4.11681152
7869.3,India,2.5339718400000004,1.797104,2.81681152
9987.9,India,2.13397184,1.4971039999999998,2.31681152
14951.6,India,1.7339718400000002,0.9971039999999998,1.6168115199999997
20036.3,India,1.5339718400000004,0.797104,1.2168115199999994
30024.2,India,1.2339718400000002,0.49710399999999977,0.8168115199999995
40012.1,India,0.9339718400000003,0.3971039999999999,0.5168115199999996
50000.0,India,0.7339718400000002,0.2971039999999998,0.31681151999999946
968.5,Italy,12.00363968,14.105808,19.00511104
4963.7,Italy,4.80363968,4.205808,6.20511104
