,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
232,Costa Rica,NMC622,Hydro,-280.09700029271005,baseline,baseline
233,Costa Rica,NMC811,Hydro,-336.2964261237841,baseline,baseline
234,Croatia,LFP,Hydro,-1990.855332469073,baseline,baseline
235,Croatia,NCA,Hydro,-39.19203771914945,baseline,baseline
236,Croatia,NMC111,Hydro,-60.889066027918304,baseline,baseline
237,Croatia,NMC523,Hydro,-56.38419572344207,baseline,baseline
238,Croatia,NMC622,Hydro,-93.19692729098676,baseline,baseline
239,Croatia,NMC811,Hydro,-130.15862511563674,baseline,baseline
240,Cyprus,LFP,Hydro,-2699.964003951226,baseline,baseline
241,Cyprus,NCA,Hydro,-52.702664480199786,baseline,baseline
242,Cyprus,NMC111,Hydro,-80.96401269835589,baseline,baseline
243,Cyprus,NMC523,Hydro,-74.88307904133825,baseline,baseline
244,Cyprus,NMC622,Hydro,-123.42406240271985,baseline,baseline
245,Cyprus,NMC811,Hydro,-172.2482421330128,baseline,baseline
246,Czechia,LFP,Hydro,-45.08195554490377,baseline,baseline
247,Czechia,NCA,Hydro,7.20072719850116,baseline,baseline
248,Czechia,NMC111,Hydro,6.3482192635386925,baseline,baseline
249,Czechia,NMC523,Hydro,5.888681398458723,baseline,baseline
250,Czechia,NMC622,Hydro,5.472193224175562,baseline,baseline
251,Czechia,NMC811,Hydro,4.412586782775074,baseline,baseline
252,Denmark,LFP,Hydro,-269.30494431542917,baseline,baseline
253,Denmark,NCA,Hydro,1.8906678572320266,baseline,baseline
254,Denmark,NMC111,Hydro,-1.2784384493647258,baseline,baseline
255,Denmark,NMC523,Hydro,-1.1988631701424295,baseline,baseline
256,Denmark,NMC622,Hydro,-5.664922271449859,baseline,baseline
257,Denmark,NMC811,Hydro,-10.726007140979108,baseline,baseline
258,Dominican Rep.,LFP,Hydro,0.0,baseline,baseline
259,Dominican Rep.,NCA,Hydro,-51.67250944055664,baseline,baseline
260,Dominican Rep.,NMC111,Hydro,-150.77410604801386,baseline,baseline
261,Dominican Rep.,NMC523,Hydro,-129.4349460302746,baseline,baseline
262,Dominican Rep.,NMC622,Hydro,-218.0556957670375,baseline,baseline
263,Dominican Rep.,NMC811,Hydro,-259.46557478775,baseline,baseline
264,Ecuador,LFP,Hydro,0.0,baseline,baseline
265,Ecuador,NCA,Hydro,-65.35035814256413,baseline,baseline
266,Ecuador,NMC111,Hydro,-186.51558233003075,baseline,baseline
267,Ecuador,NMC523,Hydro,-160.4146644923871,baseline,baseline
268,Ecuador,NMC622,Hydro,-269.44915417531564,baseline,baseline
269,Ecuador,NMC811,Hydro,-320.5842943805289,baseline,baseline
270,Egypt,LFP,Hydro,0.0,baseline,baseline
271,Egypt,NCA,Hydro,-16.66103925261918,baseline,baseline
272,Egypt,NMC111,Hydro,-57.34908753210924,baseline,baseline
273,Egypt,NMC523,Hydro,-48.819782617112104,baseline,baseline
274,Egypt,NMC622,Hydro,-84.09352800010402,baseline,baseline
275,Egypt,NMC811,Hydro,-100.75141054944712,baseline,baseline
276,El Salvador,LFP,Hydro,0.0,baseline,baseline
277,El Salvador,NCA,Hydro,-271.8788276405435,baseline,baseline
278,El Salvador,NMC111,Hydro,-1545.4400639847706,baseline,baseline
279,El Salvador,NMC523,Hydro,-662.2196949408074,baseline,baseline
280,El Salvador,NMC622,Hydro,-1020.8876506271979,baseline,baseline
281,El Salvador,NMC811,Hydro,0.0,baseline,baseline
282,Estonia,LFP,Hydro,-2032.9180555296145,baseline,baseline
283,Estonia,NCA,Hydro,-44.457513176494565,baseline,baseline
284,Estonia,NMC111,Hydro,-67.89420369130305,baseline,baseline
285,Estonia,NMC523,Hydro,-62.992807695405375,baseline,baseline
286,Estonia,NMC622,Hydro,-102.54947624973221,baseline,baseline
287,Estonia,NMC811,Hydro,-141.90751812089076,baseline,baseline
288,Eswatini,LFP,Hydro,0.0,baseline,baseline
289,Eswatini,NCA,Hydro,-1344.0072262102826,baseline,baseline
290,Eswatini,NMC111,Hydro,-3442.615343575786,baseline,baseline
291,Eswatini,NMC523,Hydro,-3019.4226704618923,baseline,baseline
292,Eswatini,NMC622,Hydro,-4969.73022645813,baseline,baseline
293,Eswatini,NMC811,Hydro,-5889.479531704367,baseline,baseline
294,Ethiopia,LFP,Hydro,0.0,baseline,baseline
295,Ethiopia,NCA,Hydro,-88.80832657326442,baseline,baseline
296,Ethiopia,NMC111,Hydro,-238.65607093289069,baseline,baseline
297,Ethiopia,NMC523,Hydro,-210.61452372036578,baseline,baseline
298,Ethiopia,NMC622,Hydro,-351.149833353628,baseline,baseline
299,Ethiopia,NMC811,Hydro,-420.0553228645423,baseline,baseline
300,Fiji,LFP,Hydro,0.0,baseline,baseline
301,Fiji,NCA,Hydro,-467.74646387776954,baseline,baseline
302,Fiji,NMC111,Hydro,-2603.071045350611,baseline,baseline
303,Fiji,NMC523,Hydro,-1059.0559691122792,baseline,baseline
304,Fiji,NMC622,Hydro,-1657.0553640828546,baseline,baseline
305,Fiji,NMC811,Hydro,0.0,baseline,baseline
306,Finland,LFP,Hydro,-1203.3595090821893,baseline,baseline
307,Finland,NCA,Hydro,-21.552833011621594,baseline,baseline
308,Finland,NMC111,Hydro,-34.86782798170138,baseline,baseline
309,Finland,NMC523,Hydro,-32.381306047219006,baseline,baseline
310,Finland,NMC622,Hydro,-54.570049330971486,baseline,baseline
311,Finland,NMC811,Hydro,-77.2539423482289,baseline,baseline
312,France,LFP,Hydro,130.49029164992177,baseline,baseline
313,France,NCA,Hydro,11.565029702519206,baseline,baseline
314,France,NMC111,Hydro,12.612743175382107,baseline,baseline
315,France,NMC523,Hydro,11.70008269046783,baseline,baseline
316,France,NMC622,Hydro,14.584291707135968,baseline,baseline
317,France,NMC811,Hydro,16.77605764377867,baseline,baseline
318,French Polynesia,LFP,Hydro,0.0,baseline,baseline
319,French Polynesia,NCA,Hydro,-148.4800234167739,baseline,baseline
320,French Polynesia,NMC111,Hydro,-396.01661471654455,baseline,baseline
321,French Polynesia,NMC523,Hydro,-343.8447409563833,baseline,baseline
322,French Polynesia,NMC622,Hydro,-568.20359280955,baseline,baseline
323,French Polynesia,NMC811,Hydro,-673.1261574147704,baseline,baseline
324,Georgia,LFP,Hydro,0.0,baseline,baseline
325,Georgia,NCA,Hydro,-368.2340699955065,baseline,baseline
326,Georgia,NMC111,Hydro,-914.3578678429295,baseline,baseline
327,Georgia,NMC523,Hydro,-804.4512469801451,baseline,baseline
328,Georgia,NMC622,Hydro,-1291.2725401415505,baseline,baseline
329,Georgia,NMC811,Hydro,-1517.8473243983503,baseline,baseline
330,Germany,LFP,Hydro,-145.90717315527695,baseline,baseline
331,Germany,NCA,Hydro,4.71612780981764,baseline,baseline
332,Germany,NMC111,Hydro,2.793880614359568,baseline,baseline
333,Germany,NMC523,Hydro,2.586701022941632,baseline,baseline
334,Germany,NMC622,Hydro,0.30961369400209826,baseline,baseline
335,Germany,NMC811,Hydro,-2.5833047148795965,baseline,baseline
336,Ghana,LFP,Hydro,0.0,baseline,baseline
337,Ghana,NCA,Hydro,-532.4941950716736,baseline,baseline
338,Ghana,NMC111,Hydro,-954.5610575636891,baseline,baseline
339,Ghana,NMC523,Hydro,-999.7016454140683,baseline,baseline
340,Ghana,NMC622,Hydro,-1846.9372483762222,baseline,baseline
341,Ghana,NMC811,Hydro,-6416.913593240565,baseline,baseline
342,Greece,LFP,Hydro,-164.09142596383612,baseline,baseline
343,Greece,NCA,Hydro,4.336321189416571,baseline,baseline
344,Greece,NMC111,Hydro,2.14884182466953,baseline,baseline
345,Greece,NMC523,Hydro,2.0062930670743278,baseline,baseline
346,Greece,NMC622,Hydro,-0.7582984652823583,baseline,baseline
347,Greece,NMC811,Hydro,-4.136434978252122,baseline,baseline
348,Greenland,LFP,Hydro,0.0,baseline,baseline
349,Greenland,NCA,Hydro,-6343.495896140465,baseline,baseline
350,Greenland,NMC111,Hydro,-14714.198359436448,baseline,baseline
351,Greenland,NMC523,Hydro,-14177.947991225103,baseline,baseline
352,Greenland,NMC622,Hydro,-23459.173359732504,baseline,baseline
353,Greenland,NMC811,Hydro,-28096.03079314028,baseline,baseline
354,Grenada,LFP,Hydro,0.0,baseline,baseline
355,Grenada,NCA,Hydro,-625.8135333701252,baseline,baseline
356,Grenada,NMC111,Hydro,-1673.9741747923833,baseline,baseline
