,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
137,SLV,RUS,33.720174063990655,10866.28,6229.018501477028,2025,Strategy 3,high_collection,baseline
138,SVN,RUS,15.536984791714392,1937.979,511.8759542442518,2025,Strategy 3,high_collection,baseline
139,TGO,RUS,12.995343438992585,6383.357,1410.2165806478556,2025,Strategy 3,high_collection,baseline
140,TTO,RUS,10.722203152106534,9608.973,1751.499130014812,2025,Strategy 3,high_collection,baseline
141,TUN,RUS,11.205880937279458,2946.28,561.2662690940913,2025,Strategy 3,high_collection,baseline
142,UKR,RUS,379.78677632875,763.4056,4928.832981540359,2025,Strategy 3,high_collection,baseline
143,URY,RUS,18.228533249013594,13387.23,4148.5026418422685,2025,Strategy 3,high_collection,baseline
144,YUG,RUS,58.268719453500815,1714.992,1698.8165911209708,2025,Strategy 3,high_collection,baseline
145,BRN,THA,2.7374533027824066,1864.909,86.7867221244568,2025,Strategy 3,high_collection,baseline
146,FJI,THA,14.898977274706713,9253.933,2343.860336967195,2025,Strategy 3,high_collection,baseline
147,IDN,THA,2878.2900138019686,2316.466,113346.83623690045,2025,Strategy 3,high_collection,baseline
148,KHM,THA,30.39479102789288,535.9692,276.9414211335777,2025,Strategy 3,high_collection,baseline
149,LAO,THA,19.44155982292864,525.2488,173.59815144106517,2025,Strategy 3,high_collection,baseline
150,LKA,THA,52.57177954074994,2381.501,2128.3956743172844,2025,Strategy 3,high_collection,baseline
151,MMR,THA,65.5528460378886,575.9035,641.78592895908,2025,Strategy 3,high_collection,baseline
152,MYS,THA,4.36189992642565,1187.123,88.02789934808936,2025,Strategy 3,high_collection,baseline
153,NCL,THA,0.2139870616571172,8231.042,29.94272036325746,2025,Strategy 3,high_collection,baseline
154,PHL,THA,902.2879407510308,2210.015,33899.18801744112,2025,Strategy 3,high_collection,baseline
155,PLW,THA,0.0861671104166968,3782.226,5.540359251169325,2025,Strategy 3,high_collection,baseline
156,SLB,THA,0.1951319334536165,7054.737,23.402276003885028,2025,Strategy 3,high_collection,baseline
157,THA,THA,1769.0752152055234,269.427,8102.822676122037,2025,Strategy 3,high_collection,baseline
158,TON,THA,0.0007434218209401,9986.011,0.1262049141863138,2025,Strategy 3,high_collection,baseline
159,VNM,THA,7484.323218113341,990.7018,126050.45222743356,2025,Strategy 3,high_collection,baseline
160,WSM,THA,0.1004921353369018,8427.922,14.397977929958486,2025,Strategy 3,high_collection,baseline
161,VNM,VNM,3000.0,216.4326,11038.062600000001,2025,Strategy 3,high_collection,baseline
0,CAN,CAN,80824.34208789561,1187.996,1632322.9167518779,2030,Strategy 2,high_collection,baseline
1,USA,CAN,13175.65791210439,737.0425,165087.3373935974,2030,Strategy 2,high_collection,baseline
2,BRA,CHN,179634.55434881762,16948.04,51755711.412260905,2030,Strategy 2,high_collection,baseline
3,CHN,CHN,1815439.5866677612,1163.707,35914875.83640047,2030,Strategy 2,high_collection,baseline
4,ROM,CHN,4380.167537796822,7068.477,526338.929450079,2030,Strategy 2,high_collection,baseline
5,YUG,CHN,322.0265151822132,7419.217,40616.13813014078,2030,Strategy 2,high_collection,baseline
6,CZE,CZE,1000.0,105.6266,1795.6522,2030,Strategy 2,high_collection,baseline
7,ESP,ESP,92000.0,267.5404,418433.18559999997,2030,Strategy 2,high_collection,baseline
8,GBR,GBR,3712.869515490253,185.8346,11729.653561476525,2030,Strategy 2,high_collection,baseline
9,HUN,HUN,2734.2804273124434,114.7229,5332.637860586886,2030,Strategy 2,high_collection,baseline
10,BRA,IND,237331.85954242383,14251.55,57499896.66865112,2030,Strategy 2,high_collection,baseline
11,IND,IND,22668.140457576126,681.9816,262807.32987080247,2030,Strategy 2,high_collection,baseline
12,ITA,ITA,90000.0,206.4667,315894.05100000004,2030,Strategy 2,high_collection,baseline
13,AUS,JPN,17646.687259594157,7958.28,2387433.730832811,2030,Strategy 2,high_collection,baseline
14,GBR,JPN,143151.8088289965,9574.237,23299678.86002758,2030,Strategy 2,high_collection,baseline
15,JPN,JPN,16683.11381789768,231.188,65567.90719464619,2030,Strategy 2,high_collection,baseline
16,NLD,JPN,39255.81931893196,9303.377,6208598.671654424,2030,Strategy 2,high_collection,baseline
17,NOR,JPN,14563.628634489778,8417.135,2083928.481208224,2030,Strategy 2,high_collection,baseline
18,USA,JPN,698.94214008993,10918.79,129737.24164647298,2030,Strategy 2,high_collection,baseline
19,BEL,KOR,37841.79597544731,8722.114,5611027.793864076,2030,Strategy 2,high_collection,baseline
20,CHE,KOR,20923.953559190428,8878.165,3158027.306564109,2030,Strategy 2,high_collection,baseline
21,CZE,KOR,8252.403041357735,8262.063,1159091.8550945166,2030,Strategy 2,high_collection,baseline
22,DEU,KOR,295158.5013197676,8139.991,40843988.25337875,2030,Strategy 2,high_collection,baseline
23,ESP,KOR,7914.192987318485,10012.64,1347113.4096332574,2030,Strategy 2,high_collection,baseline
24,FIN,KOR,10170.750723504174,7070.555,1222518.490491043,2030,Strategy 2,high_collection,baseline
25,FRA,KOR,195762.56591343845,8981.467,29889995.43497683,2030,Strategy 2,high_collection,baseline
26,ITA,KOR,113314.92554598386,8982.659,17303778.70842935,2030,Strategy 2,high_collection,baseline
27,KOR,KOR,75305.90842068812,118.6343,151875.6834329915,2030,Strategy 2,high_collection,baseline
28,NLD,KOR,4946.884804774951,8573.183,720979.3280913339,2030,Strategy 2,high_collection,baseline
29,POL,KOR,1960.7568976338955,7753.967,258461.95274768528,2030,Strategy 2,high_collection,baseline
30,SVK,KOR,5994.019619661574,8246.657,840320.6055285309,2030,Strategy 2,high_collection,baseline
31,SWE,KOR,35733.22133192575,7445.181,4522685.108997221,2030,Strategy 2,high_collection,baseline
32,TUR,KOR,6720.119859307746,7759.101,886415.5082480682,2030,Strategy 2,high_collection,baseline
33,POL,POL,71000.0,210.3233,253860.2231,2030,Strategy 2,high_collection,baseline
34,BRA,RUS,39041.77430724946,11192.67,7428688.832603872,2030,Strategy 2,high_collection,baseline
