,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
103,ZWE,TUR,101.0,6431.728,11043.276976000001,2025,Strategy 2,baseline,baseline
104,SWZ,TUR,1.0,7377.204,125.412468,2025,Strategy 2,baseline,baseline
105,ABW,USA,12.0,3007.269,613.4828759999999,2025,Strategy 2,baseline,baseline
106,BMU,USA,16.0,1322.397,359.691984,2025,Strategy 2,baseline,baseline
107,BRB,USA,2.0,3340.145,113.56493,2025,Strategy 2,baseline,baseline
108,CRI,USA,127.0,3290.809,7104.856631000001,2025,Strategy 2,baseline,baseline
109,DOM,USA,93.0,2371.688,3749.6387280000004,2025,Strategy 2,baseline,baseline
110,GRD,USA,2.0,3342.946,113.66016400000001,2025,Strategy 2,baseline,baseline
111,GTM,USA,232.0,3004.99,11851.680559999999,2025,Strategy 2,baseline,baseline
112,HND,USA,48.0,2935.833,2395.639728,2025,Strategy 2,baseline,baseline
113,JAM,USA,40.0,2326.271,1581.8642800000002,2025,Strategy 2,baseline,baseline
114,LCA,USA,2.0,3181.807,108.181438,2025,Strategy 2,baseline,baseline
115,MEX,USA,428.0,3037.916,22103.876816000004,2025,Strategy 2,baseline,baseline
116,NIC,USA,68.0,3117.858,3604.2438480000005,2025,Strategy 2,baseline,baseline
117,PAN,USA,68.0,3339.086,3859.983416,2025,Strategy 2,baseline,baseline
118,SLV,USA,69.0,3049.378,3576.9203940000007,2025,Strategy 2,baseline,baseline
119,IRL,GBR,161.0,460.4115,1260.1462755,2025,Strategy 2,baseline,baseline
0,ABW,KOR,12.0,14183.6,2893.4544000000005,2025,Strategy 3,baseline,baseline
1,AGO,KOR,37.0,12705.4,7991.6966,2025,Strategy 3,baseline,baseline
2,ALB,KOR,5.0,8562.792,727.8373200000001,2025,Strategy 3,baseline,baseline
3,AND,KOR,1.0,9559.896,162.518232,2025,Strategy 3,baseline,baseline
4,ARE,KOR,1739.0,6909.236,204257.743868,2025,Strategy 3,baseline,baseline
5,ARG,KOR,648.0,19447.35,214232.00759999998,2025,Strategy 3,baseline,baseline
6,ARM,KOR,21.0,6882.943,2457.2106510000003,2025,Strategy 3,baseline,baseline
7,AUT,KOR,3549.0,8289.029,500101.98665700003,2025,Strategy 3,baseline,baseline
8,AZE,KOR,62.0,6461.836,6810.775144,2025,Strategy 3,baseline,baseline
