year,policy_scenario,destination_iso3,technology,scrap_t,recovered_lithium_t,route_count,destination_recovered_lithium_t,destination_scrap_t,technology_share_pct
2031,current_policy,KOR,Hydro,1066491.0522236375,15039.620033956284,24,15039.620033956284,1066491.0522236375,100.0
2031,current_policy,NLD,Hydro,30000.0,103.32023614940601,1,103.32023614940601,30000.0,100.0
2031,current_policy,NOR,Hydro,14239.88986473151,184.6717548699695,1,184.6717548699695,14239.88986473151,100.0
2031,current_policy,POL,Hydro,74000.0,1469.9011955284045,1,1469.9011955284045,74000.0,100.0
2031,current_policy,ROM,Hydro,1000.0,0.0,1,0.0,1000.0,
2031,current_policy,RUS,Hydro,51000.00000000001,1063.85495016954,12,1063.85495016954,51000.00000000001,100.0
2031,current_policy,SVK,Hydro,1000.0,22.15,1,22.15,1000.0,100.0
2031,current_policy,SWE,Hydro,37631.458263516164,517.4021871405494,1,517.4021871405494,37631.458263516164,100.0
2031,current_policy,THA,Hydro,50999.99999999999,656.8853377922273,18,656.8853377922273,50999.99999999999,100.0
2031,current_policy,TUR,Hydro,10000.0,132.17418433860067,1,132.17418433860067,10000.0,100.0
2031,current_policy,USA,Hydro,606000.0,5144.548288590715,1,5144.548288590715,606000.0,100.0
2031,current_policy,VNM,Hydro,5000.0,144.31352654038702,1,144.31352654038702,5000.0,100.0
2031,current_policy,YUG,Hydro,424.28843053098717,5.495647609751293,1,5.495647609751293,424.28843053098717,100.0
2031,reference_policy,AUS,Hydro,12000.0,0.0,1,0.0,12000.0,
2031,reference_policy,BEL,Hydro,9000.0,0.0,1,0.0,9000.0,
2031,reference_policy,BRA,Hydro,10000.0,261.2363002907059,1,261.2363002907059,10000.0,100.0
2031,reference_policy,CAN,Hydro,107000.0,1586.9447202024596,1,1586.9447202024596,107000.0,100.0
2031,reference_policy,CHE,Hydro,24784.84939818184,320.8270622341883,1,320.8270622341883,24784.84939818184,100.0
2031,reference_policy,CHN,Hydro,3446917.7193360906,52904.100863982,53,52904.100863982,3446917.7193360906,100.0
2031,reference_policy,CZE,Hydro,1000.0,33.225,1,33.225,1000.0,100.0
2031,reference_policy,DEU,Hydro,189000.0,1372.3051802824955,1,1372.3051802824955,189000.0,100.0
