draw_id,year,policy_scenario,target_region,scope,direct_share_threshold_pct,direct_entry_target_share,direct_entry_target_share_pct,direct_share_at_entry_pct,direct_share_at_95pct_target_pct,direct_share_at_100pct_target_pct,reference_entry_target_share,entry_target_share_delta_vs_reference,entry_target_share_pct_point_delta_vs_reference
0,2040,strict_policy,European Union,target_region,5.0,0.99,99.0,52.01060604619895,0.0,99.99049998573746,0.99,0.0,0.0
0,2040,strict_policy,European Union,target_region,20.0,0.99,99.0,52.01060604619895,0.0,99.99049998573746,0.99,0.0,0.0
0,2040,strict_policy,European Union,target_region,50.0,0.99,99.0,52.01060604619895,0.0,99.99049998573746,0.99,0.0,0.0
0,2040,strict_policy,United States,global,5.0,0.99,99.0,7.322454750694287,0.0,14.19880459654594,0.99,0.0,0.0
0,2040,strict_policy,United States,global,20.0,,,,0.0,14.19880459654594,,,
0,2040,strict_policy,United States,global,50.0,,,,0.0,14.19880459654594,,,
0,2040,strict_policy,United States,target_region,5.0,0.99,99.0,52.01540403560879,0.0,99.99524999525228,0.99,0.0,0.0
0,2040,strict_policy,United States,target_region,20.0,0.99,99.0,52.01540403560879,0.0,99.99524999525228,0.99,0.0,0.0
0,2040,strict_policy,United States,target_region,50.0,0.99,99.0,52.01540403560879,0.0,99.99524999525228,0.99,0.0,0.0
0,2050,critical_route_policy,China,global,5.0,0.99,99.0,13.981899611337017,0.0,27.077015182798664,0.99,0.0,0.0
0,2050,critical_route_policy,China,global,20.0,1.0,100.0,27.077015182798664,0.0,27.077015182798664,0.99,0.010000000000000009,1.0000000000000009
0,2050,critical_route_policy,China,global,50.0,,,,0.0,27.077015182798664,1.0,,
0,2050,critical_route_policy,China,target_region,5.0,0.99,99.0,52.01540403561208,0.0,99.99524999525218,0.99,0.0,0.0
0,2050,critical_route_policy,China,target_region,20.0,0.99,99.0,52.01540403561208,0.0,99.99524999525218,0.99,0.0,0.0
0,2050,critical_route_policy,China,target_region,50.0,0.99,99.0,52.01540403561208,0.0,99.99524999525218,0.99,0.0,0.0
0,2050,critical_route_policy,European Union,global,5.0,0.99,99.0,23.878838654006582,0.0,46.15677290802543,0.99,0.0,0.0
0,2050,critical_route_policy,European Union,global,20.0,0.99,99.0,23.878838654006582,0.0,46.15677290802543,0.99,0.0,0.0
0,2050,critical_route_policy,European Union,global,50.0,,,,0.0,46.15677290802543,,,
0,2050,critical_route_policy,European Union,target_region,5.0,0.99,99.0,52.01060604620008,0.0,99.99049998574286,0.99,0.0,0.0
0,2050,critical_route_policy,European Union,target_region,20.0,0.99,99.0,52.01060604620008,0.0,99.99049998574286,0.99,0.0,0.0
0,2050,critical_route_policy,European Union,target_region,50.0,0.99,99.0,52.01060604620008,0.0,99.99049998574286,0.99,0.0,0.0
0,2050,critical_route_policy,United States,global,5.0,1.0,100.0,9.071448964847386,0.0,9.071448964847386,1.0,0.0,0.0
0,2050,critical_route_policy,United States,global,20.0,,,,0.0,9.071448964847386,,,
0,2050,critical_route_policy,United States,global,50.0,,,,0.0,9.071448964847386,,,
0,2050,critical_route_policy,United States,target_region,5.0,0.99,99.0,52.015404035606416,0.0,99.99524999525072,0.99,0.0,0.0
0,2050,critical_route_policy,United States,target_region,20.0,0.99,99.0,52.015404035606416,0.0,99.99524999525072,0.99,0.0,0.0
0,2050,critical_route_policy,United States,target_region,50.0,0.99,99.0,52.015404035606416,0.0,99.99524999525072,0.99,0.0,0.0
0,2050,current_policy,China,global,5.0,0.99,99.0,44.893194681078285,0.0,86.4217330485121,0.99,0.0,0.0
0,2050,current_policy,China,global,20.0,0.99,99.0,44.893194681078285,0.0,86.4217330485121,0.99,0.0,0.0
0,2050,current_policy,China,global,50.0,1.0,100.0,86.4217330485121,0.0,86.4217330485121,1.0,0.0,0.0
0,2050,current_policy,China,target_region,5.0,0.99,99.0,52.01540403560342,0.0,99.99524999525096,0.99,0.0,0.0
0,2050,current_policy,China,target_region,20.0,0.99,99.0,52.01540403560342,0.0,99.99524999525096,0.99,0.0,0.0
0,2050,current_policy,China,target_region,50.0,0.99,99.0,52.01540403560342,0.0,99.99524999525096,0.99,0.0,0.0
